scenario_name,scenario_base,family,traffic_profile_id,benchmark_split,revision_action,change_map,change_mobility,change_tp,settings_file
U1_CBD_Commuting_HelsinkiMedium__TP01_Baseline,U1_CBD_Commuting_HelsinkiMedium,01_urban,TP01,main,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U1_CBD_Commuting_HelsinkiMedium__TP01_Baseline.settings
U1_CBD_Commuting_HelsinkiMedium__TP02_LowLoad,U1_CBD_Commuting_HelsinkiMedium,01_urban,TP02,main,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U1_CBD_Commuting_HelsinkiMedium__TP02_LowLoad.settings
U1_CBD_Commuting_HelsinkiMedium__TP03_ManySmall,U1_CBD_Commuting_HelsinkiMedium,01_urban,TP03,main,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U1_CBD_Commuting_HelsinkiMedium__TP03_ManySmall.settings
U1_CBD_Commuting_HelsinkiMedium__TP04_FewLarge,U1_CBD_Commuting_HelsinkiMedium,01_urban,TP04,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U1_CBD_Commuting_HelsinkiMedium__TP04_FewLarge.settings
U1_CBD_Commuting_HelsinkiMedium__TP05_CriticalTTL,U1_CBD_Commuting_HelsinkiMedium,01_urban,TP05,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U1_CBD_Commuting_HelsinkiMedium__TP05_CriticalTTL.settings
U1_CBD_Commuting_HelsinkiMedium__TP06_OneToMany,U1_CBD_Commuting_HelsinkiMedium,01_urban,TP06,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U1_CBD_Commuting_HelsinkiMedium__TP06_OneToMany.settings
U1_CBD_Commuting_HelsinkiMedium__TP07_BurstWindow,U1_CBD_Commuting_HelsinkiMedium,01_urban,TP07,main,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U1_CBD_Commuting_HelsinkiMedium__TP07_BurstWindow.settings
U1_CBD_Commuting_HelsinkiMedium__TP08_HubTarget,U1_CBD_Commuting_HelsinkiMedium,01_urban,TP08,main,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U1_CBD_Commuting_HelsinkiMedium__TP08_HubTarget.settings
U1_CBD_Commuting_HelsinkiMedium__TP09_Bimodal,U1_CBD_Commuting_HelsinkiMedium,01_urban,TP09,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U1_CBD_Commuting_HelsinkiMedium__TP09_Bimodal.settings
U1_CBD_Commuting_HelsinkiMedium__TP10_Storm,U1_CBD_Commuting_HelsinkiMedium,01_urban,TP10,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U1_CBD_Commuting_HelsinkiMedium__TP10_Storm.settings
