map_id,batch_target,source_type,anchor_id,anchor_label,archetype,generator_type,wkt_dir,roads_wkt,preview_png,metadata_json,world_size_x,world_size_y,crs,network_type,bbox_or_params,seed,generation_status,generation_notes
OSM_cambridge_haggle_offset_n_1000m_1000m_0080,100,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_0100/wkt/map_0080,batch_0100/wkt/map_0080/roads.wkt,previews/OSM_cambridge_haggle_offset_n_1000m_1000m_0080.png,batch_0100/wkt/map_0080/metadata.json,1064,1046,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":1000.0,""center_lat"":52.213983,""center_lon"":0.12,""height_m"":1000,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1000,""window_size_m"":1000.0}",2580892417,OK,
OSM_cambridge_haggle_offset_n_1000m_1000m_0534,600,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_0600/wkt/map_0534,batch_0600/wkt/map_0534/roads.wkt,previews/OSM_cambridge_haggle_offset_n_1000m_1000m_0534.png,batch_0600/wkt/map_0534/metadata.json,1064,1046,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":1000.0,""center_lat"":52.213983,""center_lon"":0.12,""height_m"":1000,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1000,""window_size_m"":1000.0}",224287131,OK,
OSM_cambridge_haggle_offset_n_1000m_1000m_1006,1200,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_1200/wkt/map_1006,batch_1200/wkt/map_1006/roads.wkt,previews/OSM_cambridge_haggle_offset_n_1000m_1000m_1006.png,batch_1200/wkt/map_1006/metadata.json,1064,1046,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":1000.0,""center_lat"":52.213983,""center_lon"":0.12,""height_m"":1000,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1000,""window_size_m"":1000.0}",896699398,OK,
OSM_cambridge_haggle_offset_n_1000m_1000m_1490,1600,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_1600/wkt/map_1490,,,batch_1600/wkt/map_1490/metadata.json,0,0,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":1000.0,""center_lat"":52.213983,""center_lon"":0.12,""height_m"":1000,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1000,""window_size_m"":1000.0}",2897690685,FAIL_DOWNLOAD_TRANSIENT,No module named 'osmnx'
OSM_cambridge_haggle_offset_n_1000m_1000m_1961,2000,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_2000/wkt/map_1961,,,batch_2000/wkt/map_1961/metadata.json,0,0,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":1000.0,""center_lat"":52.213983,""center_lon"":0.12,""height_m"":1000,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1000,""window_size_m"":1000.0}",1389378499,FAIL_DOWNLOAD_TRANSIENT,No module named 'osmnx'
OSM_cambridge_haggle_offset_n_1000m_1500m_0422,600,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_0600/wkt/map_0422,batch_0600/wkt/map_0422/roads.wkt,previews/OSM_cambridge_haggle_offset_n_1000m_1500m_0422.png,batch_0600/wkt/map_0422/metadata.json,1060,1028,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":1500.0,""center_lat"":52.218475,""center_lon"":0.12,""height_m"":1000,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1000,""window_size_m"":1000.0}",3201270264,OK,
OSM_cambridge_haggle_offset_n_1000m_1500m_0891,1000,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_1000/wkt/map_0891,batch_1000/wkt/map_0891/roads.wkt,previews/OSM_cambridge_haggle_offset_n_1000m_1500m_0891.png,batch_1000/wkt/map_0891/metadata.json,1060,1028,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":1500.0,""center_lat"":52.218475,""center_lon"":0.12,""height_m"":1000,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1000,""window_size_m"":1000.0}",1029343264,OK,
OSM_cambridge_haggle_offset_n_1000m_1500m_1368,1600,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_1600/wkt/map_1368,,,batch_1600/wkt/map_1368/metadata.json,0,0,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":1500.0,""center_lat"":52.218475,""center_lon"":0.12,""height_m"":1000,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1000,""window_size_m"":1000.0}",1712151268,FAIL_DOWNLOAD_TRANSIENT,No module named 'osmnx'
OSM_cambridge_haggle_offset_n_1000m_1500m_1856,2000,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_2000/wkt/map_1856,,,batch_2000/wkt/map_1856/metadata.json,0,0,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":1500.0,""center_lat"":52.218475,""center_lon"":0.12,""height_m"":1000,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1000,""window_size_m"":1000.0}",3803678710,FAIL_DOWNLOAD_TRANSIENT,No module named 'osmnx'
OSM_cambridge_haggle_offset_n_1000m_200m_0307,400,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_0400/wkt/map_0307,batch_0400/wkt/map_0307/roads.wkt,previews/OSM_cambridge_haggle_offset_n_1000m_200m_0307.png,batch_0400/wkt/map_0307/metadata.json,1069,1037,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":200.0,""center_lat"":52.206797,""center_lon"":0.12,""height_m"":1000,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1000,""window_size_m"":1000.0}",3821839887,OK,
