map_id,anchor_id,bbox,network_type,status,attempts,last_error,last_attempt_at,raw_graphml_path,raw_geojson_path,cache_hit,notes
OSM_cambridge_haggle_offset_n_1000m_1000m_0080,cambridge_haggle,"{""center_lat"": 52.213983, ""center_lon"": 0.12, ""height_m"": 1000, ""width_m"": 1000}",all,DOWNLOADED,1,,2026-06-16T19:35:46.560522+00:00,osm_cache/OSM_cambridge_haggle_offset_n_1000m_1000m_0080.graphml,,true,cache_hit
OSM_cambridge_haggle_offset_n_1000m_1000m_0534,cambridge_haggle,"{""center_lat"": 52.213983, ""center_lon"": 0.12, ""height_m"": 1000, ""width_m"": 1000}",all,DOWNLOADED,1,,2026-06-17T16:24:46.066065+00:00,osm_cache/OSM_cambridge_haggle_offset_n_1000m_1000m_0534.graphml,,true,cache_hit
OSM_cambridge_haggle_offset_n_1000m_1000m_1006,cambridge_haggle,"{""center_lat"": 52.213983, ""center_lon"": 0.12, ""height_m"": 1000, ""width_m"": 1000}",all,DOWNLOADED,1,,2026-06-20T10:07:09.034069+00:00,osm_cache/OSM_cambridge_haggle_offset_n_1000m_1000m_1006.graphml,,true,cache_hit
OSM_cambridge_haggle_offset_n_1000m_1000m_1490,cambridge_haggle,"{""center_lat"": 52.213983, ""center_lon"": 0.12, ""height_m"": 1000, ""width_m"": 1000}",all,FAILED_PERMANENT,1,No module named 'osmnx',2026-06-22T08:25:46.253464+00:00,,,false,UNKNOWN
OSM_cambridge_haggle_offset_n_1000m_1000m_1961,cambridge_haggle,"{""center_lat"": 52.213983, ""center_lon"": 0.12, ""height_m"": 1000, ""width_m"": 1000}",all,FAILED_PERMANENT,1,No module named 'osmnx',2026-06-22T09:04:55.017180+00:00,,,false,UNKNOWN
OSM_cambridge_haggle_offset_n_1000m_1500m_0422,cambridge_haggle,"{""center_lat"": 52.218475, ""center_lon"": 0.12, ""height_m"": 1000, ""width_m"": 1000}",all,DOWNLOADED,1,,2026-06-17T16:09:35.332046+00:00,osm_cache/OSM_cambridge_haggle_offset_n_1000m_1500m_0422.graphml,,true,cache_hit
OSM_cambridge_haggle_offset_n_1000m_1500m_0891,cambridge_haggle,"{""center_lat"": 52.218475, ""center_lon"": 0.12, ""height_m"": 1000, ""width_m"": 1000}",all,DOWNLOADED,1,,2026-06-20T09:52:42.129489+00:00,osm_cache/OSM_cambridge_haggle_offset_n_1000m_1500m_0891.graphml,,true,cache_hit
OSM_cambridge_haggle_offset_n_1000m_1500m_1368,cambridge_haggle,"{""center_lat"": 52.218475, ""center_lon"": 0.12, ""height_m"": 1000, ""width_m"": 1000}",all,FAILED_PERMANENT,1,No module named 'osmnx',2026-06-22T08:15:56.437081+00:00,,,false,UNKNOWN
OSM_cambridge_haggle_offset_n_1000m_1500m_1856,cambridge_haggle,"{""center_lat"": 52.218475, ""center_lon"": 0.12, ""height_m"": 1000, ""width_m"": 1000}",all,FAILED_PERMANENT,1,No module named 'osmnx',2026-06-22T08:55:05.378481+00:00,,,false,UNKNOWN
OSM_cambridge_haggle_offset_n_1000m_200m_0307,cambridge_haggle,"{""center_lat"": 52.206797, ""center_lon"": 0.12, ""height_m"": 1000, ""width_m"": 1000}",all,DOWNLOADED,1,,2026-06-17T15:53:52.319445+00:00,osm_cache/OSM_cambridge_haggle_offset_n_1000m_200m_0307.graphml,,true,cache_hit
OSM_cambridge_haggle_offset_n_1000m_200m_0772,cambridge_haggle,"{""center_lat"": 52.206797, ""center_lon"": 0.12, ""height_m"": 1000, ""width_m"": 1000}",all,DOWNLOADED,1,,2026-06-17T16:50:58.718695+00:00,osm_cache/OSM_cambridge_haggle_offset_n_1000m_200m_0772.graphml,,true,cache_hit
OSM_cambridge_haggle_offset_n_1000m_200m_1255,cambridge_haggle,"{""center_lat"": 52.206797, ""center_lon"": 0.12, ""height_m"": 1000, ""width_m"": 1000}",all,FAILED_PERMANENT,1,No module named 'osmnx',2026-06-22T08:06:06.670588+00:00,,,false,UNKNOWN
OSM_cambridge_haggle_offset_n_1000m_200m_1745,cambridge_haggle,"{""center_lat"": 52.206797, ""center_lon"": 0.12, ""height_m"": 1000, ""width_m"": 1000}",all,FAILED_PERMANENT,1,No module named 'osmnx',2026-06-22T08:45:20.279688+00:00,,,false,UNKNOWN
