candidate_id,param_id,scenario_name,settings_file,map_id,movement_model,n_hosts,end_time_s,end_time_hours,group_structure,transmit_range_m,buffer_size,router,rng_seed,scenario_index
C00000,P00000,SV1_C00000,scenario_space_v1/settings/SV1_C00000.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,5,5M,EpidemicRouter,1000,0
C00001,P00001,SV1_C00001,scenario_space_v1/settings/SV1_C00001.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,5,20M,EpidemicRouter,1001,1
C00002,P00002,SV1_C00002,scenario_space_v1/settings/SV1_C00002.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,5,50M,EpidemicRouter,1002,2
C00003,P00003,SV1_C00003,scenario_space_v1/settings/SV1_C00003.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,5,100M,EpidemicRouter,1003,3
C00004,P00004,SV1_C00004,scenario_space_v1/settings/SV1_C00004.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,10,5M,EpidemicRouter,1004,4
C00005,P00005,SV1_C00005,scenario_space_v1/settings/SV1_C00005.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,10,20M,EpidemicRouter,1005,5
C00006,P00006,SV1_C00006,scenario_space_v1/settings/SV1_C00006.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,10,50M,EpidemicRouter,1006,6
C00007,P00007,SV1_C00007,scenario_space_v1/settings/SV1_C00007.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,10,100M,EpidemicRouter,1007,7
C00008,P00008,SV1_C00008,scenario_space_v1/settings/SV1_C00008.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,20,5M,EpidemicRouter,1008,8
C00009,P00009,SV1_C00009,scenario_space_v1/settings/SV1_C00009.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,20,20M,EpidemicRouter,1009,9
C00010,P00010,SV1_C00010,scenario_space_v1/settings/SV1_C00010.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,20,50M,EpidemicRouter,1010,10
C00011,P00011,SV1_C00011,scenario_space_v1/settings/SV1_C00011.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,20,100M,EpidemicRouter,1011,11
C00012,P00012,SV1_C00012,scenario_space_v1/settings/SV1_C00012.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,50,5M,EpidemicRouter,1012,12
C00013,P00013,SV1_C00013,scenario_space_v1/settings/SV1_C00013.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,50,20M,EpidemicRouter,1013,13
C00014,P00014,SV1_C00014,scenario_space_v1/settings/SV1_C00014.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,50,50M,EpidemicRouter,1014,14
C00015,P00015,SV1_C00015,scenario_space_v1/settings/SV1_C00015.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,50,100M,EpidemicRouter,1015,15
C00016,P00016,SV1_C00016,scenario_space_v1/settings/SV1_C00016.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,100,5M,EpidemicRouter,1016,16
C00017,P00017,SV1_C00017,scenario_space_v1/settings/SV1_C00017.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,100,20M,EpidemicRouter,1017,17
C00018,P00018,SV1_C00018,scenario_space_v1/settings/SV1_C00018.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,100,50M,EpidemicRouter,1018,18
C00019,P00019,SV1_C00019,scenario_space_v1/settings/SV1_C00019.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,100,100M,EpidemicRouter,1019,19
C00020,P00020,SV1_C00020,scenario_space_v1/settings/SV1_C00020.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,200,5M,EpidemicRouter,1020,20
C00021,P00021,SV1_C00021,scenario_space_v1/settings/SV1_C00021.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,200,20M,EpidemicRouter,1021,21
C00022,P00022,SV1_C00022,scenario_space_v1/settings/SV1_C00022.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,200,50M,EpidemicRouter,1022,22
C00023,P00023,SV1_C00023,scenario_space_v1/settings/SV1_C00023.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,200,100M,EpidemicRouter,1023,23
C00024,P00024,SV1_C00024,scenario_space_v1/settings/SV1_C00024.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,pedestrian_transit,5,5M,EpidemicRouter,1024,24
C00025,P00025,SV1_C00025,scenario_space_v1/settings/SV1_C00025.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,pedestrian_transit,5,20M,EpidemicRouter,1025,25
C00026,P00026,SV1_C00026,scenario_space_v1/settings/SV1_C00026.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,pedestrian_transit,5,50M,EpidemicRouter,1026,26
C00027,P00027,SV1_C00027,scenario_space_v1/settings/SV1_C00027.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,pedestrian_transit,5,100M,EpidemicRouter,1027,27
C00028,P00028,SV1_C00028,scenario_space_v1/settings/SV1_C00028.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,pedestrian_transit,10,5M,EpidemicRouter,1028,28
C00029,P00029,SV1_C00029,scenario_space_v1/settings/SV1_C00029.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,pedestrian_transit,10,20M,EpidemicRouter,1029,29
C00030,P00030,SV1_C00030,scenario_space_v1/settings/SV1_C00030.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,pedestrian_transit,10,50M,EpidemicRouter,1030,30
C00031,P00031,SV1_C00031,scenario_space_v1/settings/SV1_C00031.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,pedestrian_transit,10,100M,EpidemicRouter,1031,31
C00032,P00032,SV1_C00032,scenario_space_v1/settings/SV1_C00032.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,pedestrian_transit,20,5M,EpidemicRouter,1032,32
C00033,P00033,SV1_C00033,scenario_space_v1/settings/SV1_C00033.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,pedestrian_transit,20,20M,EpidemicRouter,1033,33
C00034,P00034,SV1_C00034,scenario_space_v1/settings/SV1_C00034.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,pedestrian_transit,20,50M,EpidemicRouter,1034,34
