dimension,value,full_count,selected_count,retention_pct
buffer_size,100M,125,3,2.4
buffer_size,20M,125,4,3.2
buffer_size,50M,125,2,1.6
buffer_size,5M,125,1,0.8
density_bin,high,0,0,0.0
density_bin,low,0,0,0.0
density_bin,medium,0,0,0.0
density_bin,very_low,500,10,2.0
group_structure,cluster_nomadic,96,3,3.125
group_structure,pedestrian_shortestpath_heterogeneous,96,2,2.0833333333333335
group_structure,pedestrian_transit,96,3,3.125
group_structure,pedestrian_vehicle,96,0,0.0
group_structure,single_homogeneous,116,2,1.7241379310344827
map_id,HelsinkiDisrupted,500,10,2.0
movement_model_primary,ClusterMovement,500,10,2.0
n_hosts,30,500,10,2.0
n_hosts_bin,101-150,0,0,0.0
n_hosts_bin,151-200,0,0,0.0
n_hosts_bin,61-100,0,0,0.0
n_hosts_bin,<=60,500,10,2.0
n_hosts_bin,>200,0,0,0.0
scenario_class,HelsinkiDisrupted|ClusterMovement,500,10,2.0
transmit_range_m,10,84,0,0.0
transmit_range_m,100,84,1,1.1904761904761905
transmit_range_m,20,84,2,2.380952380952381
transmit_range_m,200,80,4,5.0
transmit_range_m,5,84,3,3.5714285714285716
transmit_range_m,50,84,0,0.0
