duplicate_scenario,duplicate_candidate_id,representative_scenario,representative_candidate_id,feature_set
SV1_C00001,C00001,SV1_C00000,C00000,core23
SV1_C00002,C00002,SV1_C00000,C00000,core23
SV1_C00003,C00003,SV1_C00000,C00000,core23
SV1_C00004,C00004,SV1_C00000,C00000,core23
SV1_C00005,C00005,SV1_C00000,C00000,core23
SV1_C00006,C00006,SV1_C00000,C00000,core23
SV1_C00007,C00007,SV1_C00000,C00000,core23
SV1_C00008,C00008,SV1_C00000,C00000,core23
SV1_C00009,C00009,SV1_C00000,C00000,core23
SV1_C00010,C00010,SV1_C00000,C00000,core23
SV1_C00011,C00011,SV1_C00000,C00000,core23
SV1_C00012,C00012,SV1_C00000,C00000,core23
SV1_C00013,C00013,SV1_C00000,C00000,core23
SV1_C00014,C00014,SV1_C00000,C00000,core23
SV1_C00015,C00015,SV1_C00000,C00000,core23
SV1_C00016,C00016,SV1_C00000,C00000,core23
SV1_C00017,C00017,SV1_C00000,C00000,core23
SV1_C00018,C00018,SV1_C00000,C00000,core23
SV1_C00019,C00019,SV1_C00000,C00000,core23
SV1_C00020,C00020,SV1_C00000,C00000,core23
SV1_C00021,C00021,SV1_C00000,C00000,core23
SV1_C00022,C00022,SV1_C00000,C00000,core23
SV1_C00023,C00023,SV1_C00000,C00000,core23
SV1_C00024,C00024,SV1_C00000,C00000,core23
SV1_C00025,C00025,SV1_C00000,C00000,core23
SV1_C00026,C00026,SV1_C00000,C00000,core23
SV1_C00027,C00027,SV1_C00000,C00000,core23
SV1_C00028,C00028,SV1_C00000,C00000,core23
SV1_C00029,C00029,SV1_C00000,C00000,core23
SV1_C00030,C00030,SV1_C00000,C00000,core23
SV1_C00031,C00031,SV1_C00000,C00000,core23
SV1_C00032,C00032,SV1_C00000,C00000,core23
SV1_C00033,C00033,SV1_C00000,C00000,core23
SV1_C00034,C00034,SV1_C00000,C00000,core23
SV1_C00035,C00035,SV1_C00000,C00000,core23
SV1_C00036,C00036,SV1_C00000,C00000,core23
SV1_C00037,C00037,SV1_C00000,C00000,core23
SV1_C00038,C00038,SV1_C00000,C00000,core23
SV1_C00039,C00039,SV1_C00000,C00000,core23
SV1_C00040,C00040,SV1_C00000,C00000,core23
SV1_C00041,C00041,SV1_C00000,C00000,core23
SV1_C00042,C00042,SV1_C00000,C00000,core23
SV1_C00043,C00043,SV1_C00000,C00000,core23
SV1_C00044,C00044,SV1_C00000,C00000,core23
SV1_C00045,C00045,SV1_C00000,C00000,core23
SV1_C00046,C00046,SV1_C00000,C00000,core23
SV1_C00047,C00047,SV1_C00000,C00000,core23
SV1_C00048,C00048,SV1_C00000,C00000,core23
SV1_C00049,C00049,SV1_C00000,C00000,core23
SV1_C00050,C00050,SV1_C00000,C00000,core23
SV1_C00051,C00051,SV1_C00000,C00000,core23
SV1_C00052,C00052,SV1_C00000,C00000,core23
SV1_C00053,C00053,SV1_C00000,C00000,core23
SV1_C00054,C00054,SV1_C00000,C00000,core23
SV1_C00055,C00055,SV1_C00000,C00000,core23
SV1_C00056,C00056,SV1_C00000,C00000,core23
SV1_C00057,C00057,SV1_C00000,C00000,core23
SV1_C00058,C00058,SV1_C00000,C00000,core23
SV1_C00059,C00059,SV1_C00000,C00000,core23
SV1_C00060,C00060,SV1_C00000,C00000,core23
SV1_C00061,C00061,SV1_C00000,C00000,core23
SV1_C00062,C00062,SV1_C00000,C00000,core23
SV1_C00063,C00063,SV1_C00000,C00000,core23
SV1_C00064,C00064,SV1_C00000,C00000,core23
SV1_C00065,C00065,SV1_C00000,C00000,core23
SV1_C00066,C00066,SV1_C00000,C00000,core23
SV1_C00067,C00067,SV1_C00000,C00000,core23
SV1_C00068,C00068,SV1_C00000,C00000,core23
SV1_C00069,C00069,SV1_C00000,C00000,core23
SV1_C00070,C00070,SV1_C00000,C00000,core23
SV1_C00071,C00071,SV1_C00000,C00000,core23
SV1_C00072,C00072,SV1_C00000,C00000,core23
SV1_C00073,C00073,SV1_C00000,C00000,core23
SV1_C00074,C00074,SV1_C00000,C00000,core23
SV1_C00075,C00075,SV1_C00000,C00000,core23
SV1_C00076,C00076,SV1_C00000,C00000,core23
SV1_C00077,C00077,SV1_C00000,C00000,core23
SV1_C00078,C00078,SV1_C00000,C00000,core23
SV1_C00079,C00079,SV1_C00000,C00000,core23
SV1_C00080,C00080,SV1_C00000,C00000,core23
SV1_C00081,C00081,SV1_C00000,C00000,core23
SV1_C00082,C00082,SV1_C00000,C00000,core23
SV1_C00083,C00083,SV1_C00000,C00000,core23
SV1_C00084,C00084,SV1_C00000,C00000,core23
SV1_C00085,C00085,SV1_C00000,C00000,core23
SV1_C00086,C00086,SV1_C00000,C00000,core23
SV1_C00087,C00087,SV1_C00000,C00000,core23
SV1_C00088,C00088,SV1_C00000,C00000,core23
SV1_C00089,C00089,SV1_C00000,C00000,core23
SV1_C00090,C00090,SV1_C00000,C00000,core23
SV1_C00091,C00091,SV1_C00000,C00000,core23
SV1_C00092,C00092,SV1_C00000,C00000,core23
SV1_C00093,C00093,SV1_C00000,C00000,core23
SV1_C00094,C00094,SV1_C00000,C00000,core23
SV1_C00095,C00095,SV1_C00000,C00000,core23
SV1_C00096,C00096,SV1_C00000,C00000,core23
SV1_C00097,C00097,SV1_C00000,C00000,core23
SV1_C00098,C00098,SV1_C00000,C00000,core23
SV1_C00099,C00099,SV1_C00000,C00000,core23
SV1_C00100,C00100,SV1_C00000,C00000,core23
SV1_C00101,C00101,SV1_C00000,C00000,core23
SV1_C00102,C00102,SV1_C00000,C00000,core23
SV1_C00103,C00103,SV1_C00000,C00000,core23
SV1_C00104,C00104,SV1_C00000,C00000,core23
SV1_C00105,C00105,SV1_C00000,C00000,core23
SV1_C00106,C00106,SV1_C00000,C00000,core23
SV1_C00107,C00107,SV1_C00000,C00000,core23
SV1_C00108,C00108,SV1_C00000,C00000,core23
SV1_C00109,C00109,SV1_C00000,C00000,core23
SV1_C00110,C00110,SV1_C00000,C00000,core23
SV1_C00111,C00111,SV1_C00000,C00000,core23
SV1_C00112,C00112,SV1_C00000,C00000,core23
SV1_C00113,C00113,SV1_C00000,C00000,core23
SV1_C00114,C00114,SV1_C00000,C00000,core23
SV1_C00115,C00115,SV1_C00000,C00000,core23
SV1_C00116,C00116,SV1_C00000,C00000,core23
SV1_C00117,C00117,SV1_C00000,C00000,core23
SV1_C00118,C00118,SV1_C00000,C00000,core23
SV1_C00119,C00119,SV1_C00000,C00000,core23
SV1_C00120,C00120,SV1_C00000,C00000,core23
SV1_C00121,C00121,SV1_C00000,C00000,core23
SV1_C00122,C00122,SV1_C00000,C00000,core23
SV1_C00123,C00123,SV1_C00000,C00000,core23
SV1_C00124,C00124,SV1_C00000,C00000,core23
SV1_C00125,C00125,SV1_C00000,C00000,core23
SV1_C00126,C00126,SV1_C00000,C00000,core23
SV1_C00127,C00127,SV1_C00000,C00000,core23
SV1_C00128,C00128,SV1_C00000,C00000,core23
SV1_C00129,C00129,SV1_C00000,C00000,core23
SV1_C00130,C00130,SV1_C00000,C00000,core23
SV1_C00131,C00131,SV1_C00000,C00000,core23
SV1_C00132,C00132,SV1_C00000,C00000,core23
SV1_C00133,C00133,SV1_C00000,C00000,core23
SV1_C00134,C00134,SV1_C00000,C00000,core23
SV1_C00135,C00135,SV1_C00000,C00000,core23
SV1_C00136,C00136,SV1_C00000,C00000,core23
SV1_C00137,C00137,SV1_C00000,C00000,core23
SV1_C00138,C00138,SV1_C00000,C00000,core23
SV1_C00139,C00139,SV1_C00000,C00000,core23
SV1_C00140,C00140,SV1_C00000,C00000,core23
SV1_C00141,C00141,SV1_C00000,C00000,core23
SV1_C00142,C00142,SV1_C00000,C00000,core23
SV1_C00143,C00143,SV1_C00000,C00000,core23
