scenario,world_area,aspect_ratio,N,density,speed_mean,pause_ratio,wait_mean,mm_WDM,mm_RWP,mm_MapRoute,mm_Cluster,mm_Bus,mm_ShortestPath,mm_External,mm_Linear,transmitRange,contact_rate_proxy,event_interval_mean,event_size_mean,msgTtl,pattern_uniform,pattern_burst,pattern_hub_target,nrof_event_generators,bufferSize,transmitSpeed,workDayLength,timeDiffSTD,probGoShoppingAfterWork,nrOfMeetingSpots,nrOfOffices,officeSize,nrOfShops,ownCarProb,shopSize,officeWaitTime_mean,shoppingWaitTime_mean,eveningGroupSize_mean,eveningWaitTime_mean,afterShoppingStopTime_mean,clusterRange_mean,event2_interval_mean,event2_size_mean,Scenario.endTime,nrofHostGroups,has_active_times
SV1_C00000,3206414.0,0.9130202774813234,30,9.356246573274694,1.0,0.6923076923076923,135.0,0,0,0,1,0,0,0,0,5.0,0.00023390616433186735,90.0,100000.0,300.0,1,0,0,1,5000000.0,2400000.0,,,,,,,,,,,,,,,427.0,,,7200.0,1,0
SV1_C00001,3206414.0,0.9130202774813234,30,9.356246573274694,1.0,0.6923076923076923,135.0,0,0,0,1,0,0,0,0,5.0,0.00023390616433186735,90.0,100000.0,300.0,1,0,0,1,20000000.0,2400000.0,,,,,,,,,,,,,,,427.0,,,7200.0,1,0
SV1_C00002,3206414.0,0.9130202774813234,30,9.356246573274694,1.0,0.6923076923076923,135.0,0,0,0,1,0,0,0,0,5.0,0.00023390616433186735,90.0,100000.0,300.0,1,0,0,1,50000000.0,2400000.0,,,,,,,,,,,,,,,427.0,,,7200.0,1,0
SV1_C00003,3206414.0,0.9130202774813234,30,9.356246573274694,1.0,0.6923076923076923,135.0,0,0,0,1,0,0,0,0,5.0,0.00023390616433186735,90.0,100000.0,300.0,1,0,0,1,100000000.0,2400000.0,,,,,,,,,,,,,,,427.0,,,7200.0,1,0
SV1_C00004,3206414.0,0.9130202774813234,30,9.356246573274694,1.0,0.6923076923076923,135.0,0,0,0,1,0,0,0,0,10.0,0.0009356246573274694,90.0,100000.0,300.0,1,0,0,1,5000000.0,2400000.0,,,,,,,,,,,,,,,427.0,,,7200.0,1,0
SV1_C00005,3206414.0,0.9130202774813234,30,9.356246573274694,1.0,0.6923076923076923,135.0,0,0,0,1,0,0,0,0,10.0,0.0009356246573274694,90.0,100000.0,300.0,1,0,0,1,20000000.0,2400000.0,,,,,,,,,,,,,,,427.0,,,7200.0,1,0
SV1_C00006,3206414.0,0.9130202774813234,30,9.356246573274694,1.0,0.6923076923076923,135.0,0,0,0,1,0,0,0,0,10.0,0.0009356246573274694,90.0,100000.0,300.0,1,0,0,1,50000000.0,2400000.0,,,,,,,,,,,,,,,427.0,,,7200.0,1,0
SV1_C00007,3206414.0,0.9130202774813234,30,9.356246573274694,1.0,0.6923076923076923,135.0,0,0,0,1,0,0,0,0,10.0,0.0009356246573274694,90.0,100000.0,300.0,1,0,0,1,100000000.0,2400000.0,,,,,,,,,,,,,,,427.0,,,7200.0,1,0
SV1_C00008,3206414.0,0.9130202774813234,30,9.356246573274694,1.0,0.6923076923076923,135.0,0,0,0,1,0,0,0,0,20.0,0.0037424986293098776,90.0,100000.0,300.0,1,0,0,1,5000000.0,2400000.0,,,,,,,,,,,,,,,427.0,,,7200.0,1,0
SV1_C00009,3206414.0,0.9130202774813234,30,9.356246573274694,1.0,0.6923076923076923,135.0,0,0,0,1,0,0,0,0,20.0,0.0037424986293098776,90.0,100000.0,300.0,1,0,0,1,20000000.0,2400000.0,,,,,,,,,,,,,,,427.0,,,7200.0,1,0
SV1_C00010,3206414.0,0.9130202774813234,30,9.356246573274694,1.0,0.6923076923076923,135.0,0,0,0,1,0,0,0,0,20.0,0.0037424986293098776,90.0,100000.0,300.0,1,0,0,1,50000000.0,2400000.0,,,,,,,,,,,,,,,427.0,,,7200.0,1,0
