scenario,world_area,aspect_ratio,N,nrofHostGroups,speed_mean,wait_mean,mm_WDM,mm_RWP,mm_MapRoute,mm_Cluster,mm_Bus,mm_Linear,transmitRange,bufferSize,transmitSpeed,msgTtl,event_interval_mean,event_size_mean,nrof_event_generators,pattern_burst,pattern_hub_target,workDayLength,ownCarProb
SV1_C00000,0.0,0.9989994994993742,0.0,-1.81761495865627,-0.7673975625033981,1.1198362282447893,0.0,0.0,0.0,0.0,-0.7887520967514888,0.0,-0.8546399150512279,-1.066628483895483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV1_C00001,0.0,0.9989994994993742,0.0,-1.81761495865627,-0.7673975625033981,1.1198362282447893,0.0,0.0,0.0,0.0,-0.7887520967514888,0.0,-0.8546399150512279,-0.6537400385165864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV1_C00002,0.0,0.9989994994993742,0.0,-1.81761495865627,-0.7673975625033981,1.1198362282447893,0.0,0.0,0.0,0.0,-0.7887520967514888,0.0,-0.8546399150512279,0.17203685224120693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV1_C00003,0.0,0.9989994994993742,0.0,-1.81761495865627,-0.7673975625033981,1.1198362282447893,0.0,0.0,0.0,0.0,-0.7887520967514888,0.0,-0.8546399150512279,1.5483316701708625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV1_C00004,0.0,0.9989994994993742,0.0,-1.81761495865627,-0.7673975625033981,1.1198362282447893,0.0,0.0,0.0,0.0,-0.7887520967514888,0.0,-0.7810655421990217,-1.066628483895483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV1_C00005,0.0,0.9989994994993742,0.0,-1.81761495865627,-0.7673975625033981,1.1198362282447893,0.0,0.0,0.0,0.0,-0.7887520967514888,0.0,-0.7810655421990217,-0.6537400385165864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV1_C00006,0.0,0.9989994994993742,0.0,-1.81761495865627,-0.7673975625033981,1.1198362282447893,0.0,0.0,0.0,0.0,-0.7887520967514888,0.0,-0.7810655421990217,0.17203685224120693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV1_C00007,0.0,0.9989994994993742,0.0,-1.81761495865627,-0.7673975625033981,1.1198362282447893,0.0,0.0,0.0,0.0,-0.7887520967514888,0.0,-0.7810655421990217,1.5483316701708625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV1_C00008,0.0,0.9989994994993742,0.0,-1.81761495865627,-0.7673975625033981,1.1198362282447893,0.0,0.0,0.0,0.0,-0.7887520967514888,0.0,-0.6339167964946092,-1.066628483895483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV1_C00009,0.0,0.9989994994993742,0.0,-1.81761495865627,-0.7673975625033981,1.1198362282447893,0.0,0.0,0.0,0.0,-0.7887520967514888,0.0,-0.6339167964946092,-0.6537400385165864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
