feature,mean,std
world_area,3206414.0,0.0
aspect_ratio,0.9130202774813233,1.111334915764742e-16
N,30.0,0.0
nrofHostGroups,1.768,0.42253173387600673
speed_mean,3.832,3.6903948336263572
wait_mean,76.44,52.29336087097831
mm_WDM,0.0,0.0
mm_RWP,0.0,0.0
mm_MapRoute,0.0,0.0
mm_Cluster,1.0,0.0
mm_Bus,0.384,0.4868449815620413
mm_Linear,0.0,0.0
transmitRange,63.08,67.95844539570636
bufferSize,43750000.0,36329425.46075588
transmitSpeed,2400000.0,0.0
msgTtl,300.0,0.0
event_interval_mean,90.0,0.0
event_size_mean,100000.0,0.0
nrof_event_generators,1.0,0.0
pattern_burst,0.0,0.0
pattern_hub_target,0.0,0.0
workDayLength,,
ownCarProb,,
