candidate_id,param_id,scenario_name,settings_file,map_id,movement_model,n_hosts,end_time_s,end_time_hours,group_structure,transmit_range_m,buffer_size,router,rng_seed,scenario_index
C00081,P00081,SV1_C00081,scenario_space_v1/settings/SV1_C00081.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,pedestrian_shortestpath_heterogeneous,20,20M,EpidemicRouter,1081,81
C00021,P00021,SV1_C00021,scenario_space_v1/settings/SV1_C00021.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,200,20M,EpidemicRouter,1021,21
C00099,P00099,SV1_C00099,scenario_space_v1/settings/SV1_C00099.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,cluster_nomadic,5,100M,EpidemicRouter,1099,99
C00033,P00033,SV1_C00033,scenario_space_v1/settings/SV1_C00033.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,pedestrian_transit,20,20M,EpidemicRouter,1033,33
C00027,P00027,SV1_C00027,scenario_space_v1/settings/SV1_C00027.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,pedestrian_transit,5,100M,EpidemicRouter,1027,27
C00002,P00002,SV1_C00002,scenario_space_v1/settings/SV1_C00002.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,single_homogeneous,5,50M,EpidemicRouter,1002,2
C00119,P00119,SV1_C00119,scenario_space_v1/settings/SV1_C00119.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,cluster_nomadic,200,100M,EpidemicRouter,1119,119
C00093,P00093,SV1_C00093,scenario_space_v1/settings/SV1_C00093.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,pedestrian_shortestpath_heterogeneous,200,20M,EpidemicRouter,1093,93
C00046,P00046,SV1_C00046,scenario_space_v1/settings/SV1_C00046.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,pedestrian_transit,200,50M,EpidemicRouter,1046,46
C00112,P00112,SV1_C00112,scenario_space_v1/settings/SV1_C00112.settings,HelsinkiDisrupted,ClusterMovement,30,7200,2.0,cluster_nomadic,100,5M,EpidemicRouter,1112,112
