duplicate_scenario,duplicate_candidate_id,representative_scenario,representative_candidate_id,feature_set
SV1_C00048,C00048,SV1_C00024,C00024,core23
SV1_C00049,C00049,SV1_C00025,C00025,core23
SV1_C00050,C00050,SV1_C00026,C00026,core23
SV1_C00051,C00051,SV1_C00027,C00027,core23
SV1_C00052,C00052,SV1_C00028,C00028,core23
SV1_C00053,C00053,SV1_C00029,C00029,core23
SV1_C00054,C00054,SV1_C00030,C00030,core23
SV1_C00055,C00055,SV1_C00031,C00031,core23
SV1_C00056,C00056,SV1_C00032,C00032,core23
SV1_C00057,C00057,SV1_C00033,C00033,core23
SV1_C00058,C00058,SV1_C00034,C00034,core23
SV1_C00059,C00059,SV1_C00035,C00035,core23
SV1_C00060,C00060,SV1_C00036,C00036,core23
SV1_C00061,C00061,SV1_C00037,C00037,core23
SV1_C00062,C00062,SV1_C00038,C00038,core23
SV1_C00063,C00063,SV1_C00039,C00039,core23
SV1_C00064,C00064,SV1_C00040,C00040,core23
SV1_C00065,C00065,SV1_C00041,C00041,core23
SV1_C00066,C00066,SV1_C00042,C00042,core23
SV1_C00067,C00067,SV1_C00043,C00043,core23
SV1_C00068,C00068,SV1_C00044,C00044,core23
SV1_C00069,C00069,SV1_C00045,C00045,core23
SV1_C00070,C00070,SV1_C00046,C00046,core23
SV1_C00071,C00071,SV1_C00047,C00047,core23
SV1_C00120,C00120,SV1_C00000,C00000,core23
SV1_C00121,C00121,SV1_C00001,C00001,core23
SV1_C00122,C00122,SV1_C00002,C00002,core23
SV1_C00123,C00123,SV1_C00003,C00003,core23
SV1_C00124,C00124,SV1_C00004,C00004,core23
SV1_C00125,C00125,SV1_C00005,C00005,core23
SV1_C00126,C00126,SV1_C00006,C00006,core23
SV1_C00127,C00127,SV1_C00007,C00007,core23
SV1_C00128,C00128,SV1_C00008,C00008,core23
SV1_C00129,C00129,SV1_C00009,C00009,core23
SV1_C00130,C00130,SV1_C00010,C00010,core23
SV1_C00131,C00131,SV1_C00011,C00011,core23
SV1_C00132,C00132,SV1_C00012,C00012,core23
SV1_C00133,C00133,SV1_C00013,C00013,core23
SV1_C00134,C00134,SV1_C00014,C00014,core23
SV1_C00135,C00135,SV1_C00015,C00015,core23
SV1_C00136,C00136,SV1_C00016,C00016,core23
SV1_C00137,C00137,SV1_C00017,C00017,core23
SV1_C00138,C00138,SV1_C00018,C00018,core23
SV1_C00139,C00139,SV1_C00019,C00019,core23
SV1_C00140,C00140,SV1_C00020,C00020,core23
SV1_C00141,C00141,SV1_C00021,C00021,core23
SV1_C00142,C00142,SV1_C00022,C00022,core23
SV1_C00143,C00143,SV1_C00023,C00023,core23
SV1_C00144,C00144,SV1_C00024,C00024,core23
SV1_C00145,C00145,SV1_C00025,C00025,core23
SV1_C00146,C00146,SV1_C00026,C00026,core23
SV1_C00147,C00147,SV1_C00027,C00027,core23
SV1_C00148,C00148,SV1_C00028,C00028,core23
SV1_C00149,C00149,SV1_C00029,C00029,core23
SV1_C00150,C00150,SV1_C00030,C00030,core23
SV1_C00151,C00151,SV1_C00031,C00031,core23
SV1_C00152,C00152,SV1_C00032,C00032,core23
SV1_C00153,C00153,SV1_C00033,C00033,core23
SV1_C00154,C00154,SV1_C00034,C00034,core23
SV1_C00155,C00155,SV1_C00035,C00035,core23
SV1_C00156,C00156,SV1_C00036,C00036,core23
SV1_C00157,C00157,SV1_C00037,C00037,core23
SV1_C00158,C00158,SV1_C00038,C00038,core23
SV1_C00159,C00159,SV1_C00039,C00039,core23
