scenario_name,candidate_id,max_abs_r_vs_selected
SV1_C22845,C22845,0.8761123873240787
SV1_C61815,C61815,0.9222802598564259
SV1_C63103,C63103,0.8895134865092251
SV1_C60696,C60696,0.912339447251402
SV1_C30011,C30011,0.8895684097850348
SV1_C84016,C84016,0.8995159596199083
SV1_C57626,C57626,0.8523191410225437
SV1_C75625,C75625,0.9347618351136041
SV1_C60099,C60099,0.9001078442448334
SV1_C48028,C48028,0.9477292410471736
SV1_C75063,C75063,0.9669244583442584
SV1_C48704,C48704,0.8946035000993771
SV1_C51036,C51036,0.8705951584185107
SV1_C10867,C10867,0.9470748910010947
SV1_C33097,C33097,0.8560195992533968
SV1_C86441,C86441,0.9293342667051205
SV1_C03107,C03107,0.8887388742704257
SV1_C69711,C69711,0.9195144863830975
SV1_C73237,C73237,0.9367960693755288
SV1_C52830,C52830,0.8986472864239938
SV1_C89402,C89402,0.9203813846926503
SV1_C53514,C53514,0.9215150248088365
SV1_C45092,C45092,0.9072056004268952
SV1_C53425,C53425,0.9583511274934032
SV1_C00626,C00626,0.9187783795023642
SV1_C73230,C73230,0.9162872150400163
SV1_C06037,C06037,0.9417348488622378
SV1_C58209,C58209,0.9747713151889145
SV1_C53493,C53493,0.967916604491945
SV1_C52833,C52833,0.9428666110413362
SV1_C55220,C55220,0.8783037925953836
SV1_C68439,C68439,0.8993837359845493
SV1_C90628,C90628,0.9755399831235365
SV1_C49267,C49267,0.8982951366216119
SV1_C48106,C48106,0.9344517388679959
SV1_C43828,C43828,0.9892766566930254
SV1_C52847,C52847,0.8622187138676056
SV1_C83487,C83487,0.9485338738579617
SV1_C53494,C53494,0.9974437873365292
SV1_C48074,C48074,0.9079623027087926
SV1_C43276,C43276,0.9881835151476287
SV1_C49261,C49261,0.9636731639603575
SV1_C17418,C17418,0.931040539069257
SV1_C06096,C06096,0.8960198855068731
SV1_C83498,C83498,0.9086281941128738
SV1_C23446,C23446,0.8984915321381914
SV1_C44425,C44425,0.995966489202833
SV1_C58815,C58815,0.9508091052861586
SV1_C57028,C57028,0.8701691155782553
SV1_C05424,C05424,0.9018807162120169
SV1_C34214,C34214,0.950445077641338
SV1_C28305,C28305,0.9557860470292189
SV1_C00710,C00710,0.9738697738498278
SV1_C78026,C78026,0.9413589101408696
SV1_C00083,C00083,0.8702488287633071
SV1_C62499,C62499,0.9149775266529931
SV1_C53412,C53412,0.8605963209007178
SV1_C88816,C88816,0.9283514860133285
SV1_C82813,C82813,0.9378511594679811
SV1_C48619,C48619,0.8710146235442225
SV1_C31887,C31887,0.8511510215834132
SV1_C81622,C81622,0.9490540760412436
SV1_C89505,C89505,0.9452512870916052
SV1_C07287,C07287,0.9425515698550633
SV1_C90603,C90603,0.880315930091239
SV1_C58309,C58309,0.9640314842502297
SV1_C36021,C36021,0.995630550384598
SV1_C07266,C07266,0.8614992732444703
SV1_C79806,C79806,0.8863775582703408
SV1_C93709,C93709,0.9540375580324627
SV1_C24708,C24708,0.9528839067811097
SV1_C21645,C21645,0.8741163572530543
SV1_C43214,C43214,0.9253098439823259
SV1_C18623,C18623,0.8587703381684588
SV1_C54035,C54035,0.9315296089418114
SV1_C11515,C11515,0.96473142074424
SV1_C53435,C53435,0.9021743373911596
SV1_C35401,C35401,0.914657415476551
SV1_C04835,C04835,0.8954181911131023
SV1_C12034,C12034,0.8773681297416676
SV1_C21634,C21634,0.8885276449849066
SV1_C91317,C91317,0.904415191425744
SV1_C09049,C09049,0.9534552782295587
SV1_C51103,C51103,0.9388465433920208
SV1_C79803,C79803,0.8734741780019686
SV1_C36003,C36003,0.8937946395645381
SV1_C27692,C27692,0.9116104207236647
SV1_C61285,C61285,0.8901254931085767
SV1_C88842,C88842,0.9100220643543995
SV1_C41401,C41401,0.9266192934595117
SV1_C60706,C60706,0.9843914900915024
SV1_C16842,C16842,0.92930440273025
SV1_C71508,C71508,0.919080374791863
SV1_C90626,C90626,0.9514886804453625
SV1_C43201,C43201,0.8623846950250754
SV1_C13282,C13282,0.933403780880767
SV1_C91209,C91209,0.9379354001069692
SV1_C22887,C22887,0.9720918604159069
SV1_C91800,C91800,0.9628160164377557
SV1_C69116,C69116,0.9976407448436719
SV1_C28902,C28902,0.9261864153328917
SV1_C74512,C74512,0.9291549652758427
SV1_C43264,C43264,0.9262426845489776
SV1_C72656,C72656,0.983494437394189
SV1_C51012,C51012,0.8718697085411224
SV1_C61916,C61916,0.8979024044752881
SV1_C05436,C05436,0.8729060931615383
SV1_C20417,C20417,0.8975084439970037
SV1_C48611,C48611,0.9199392951948177
SV1_C64222,C64222,0.9596697232700392
SV1_C07254,C07254,0.9859769872316096
SV1_C66718,C66718,0.922336652856142
SV1_C43861,C43861,0.9881175340458248
SV1_C81022,C81022,0.950259643302659
SV1_C75637,C75637,0.9173726743926709
SV1_C15030,C15030,0.9667012609925959
SV1_C03633,C03633,0.9774930546977834
SV1_C34899,C34899,0.9221791439662755
SV1_C78008,C78008,0.9434312965172867
SV1_C92484,C92484,0.8774695089156689
SV1_C30019,C30019,0.8857117836645989
SV1_C81106,C81106,0.9558905902171636
SV1_C82896,C82896,0.9121566264002107
SV1_C72707,C72707,0.87809699347813
SV1_C72686,C72686,0.8885200656647328
SV1_C22286,C22286,0.8713922245440152
SV1_C61229,C61229,0.9308864077500886
SV1_C48642,C48642,0.8962203177974181
SV1_C32473,C32473,0.9842867085014477
SV1_C55238,C55238,0.9392898104412638
SV1_C51705,C51705,0.9994102322784653
SV1_C52293,C52293,0.9617573909549941
SV1_C55273,C55273,0.8612254484530175
SV1_C45030,C45030,0.9649567653907252
SV1_C99698,C99698,0.9301531375966718
SV1_C26417,C26417,0.9871844715959841
SV1_C87063,C87063,0.9881812163967814
SV1_C98480,C98480,0.9305087301551443
SV1_C51611,C51611,0.8781889327759971
SV1_C06702,C06702,0.8993785545042015
SV1_C67907,C67907,0.9197822555563814
SV1_C50509,C50509,0.985713010724105
SV1_C24638,C24638,0.8815663510488011
SV1_C25909,C25909,0.972462530191417
SV1_C90609,C90609,0.9355616217863715
SV1_C04900,C04900,0.9426806570960747
