scenario_name,candidate_id,max_abs_r_vs_selected
SV1_C11154,C11154,0.7313214355169834
SV1_C81248,C81248,0.7075903216075471
SV1_C16944,C16944,0.8290244499360071
SV1_C52715,C52715,0.8116833668278645
SV1_C23562,C23562,0.7883385159948655
SV1_C32884,C32884,0.7591314865090254
SV1_C22218,C22218,0.8671718598591913
SV1_C92519,C92519,0.8455231944015811
SV1_C59061,C59061,0.9606824463312733
SV1_C45986,C45986,0.7075630865343608
SV1_C66997,C66997,0.8035293220980709
SV1_C29475,C29475,0.7799384951160412
SV1_C91128,C91128,0.8653498330398107
SV1_C51350,C51350,0.9439077626740454
SV1_C90706,C90706,0.827050885764943
SV1_C76595,C76595,0.9045789035951515
SV1_C98880,C98880,0.7336371491539706
SV1_C02856,C02856,0.7541056368997506
SV1_C76785,C76785,0.857342607266918
SV1_C74864,C74864,0.931669768046868
SV1_C96746,C96746,0.9937000872044912
SV1_C07939,C07939,0.8587335085362964
SV1_C89076,C89076,0.8636129133401048
SV1_C94097,C94097,0.7252530530724944
SV1_C67294,C67294,0.7296468383844952
SV1_C05599,C05599,0.885957654541054
SV1_C10319,C10319,0.7452402540701436
SV1_C47217,C47217,0.7117984414196479
SV1_C03382,C03382,0.7943022793403537
SV1_C35408,C35408,0.9092131567579885
SV1_C73195,C73195,0.8291677080712084
SV1_C45710,C45710,0.8024441190140288
SV1_C28061,C28061,0.719297239890866
SV1_C99144,C99144,0.7961737239319765
SV1_C84742,C84742,0.9305729188236295
SV1_C80979,C80979,0.7050757921325536
SV1_C54580,C54580,0.7958759637711096
SV1_C60360,C60360,0.7799126097988565
SV1_C52074,C52074,0.8754464535491546
SV1_C64674,C64674,0.9075313983703133
SV1_C23683,C23683,0.7838059600330014
SV1_C21868,C21868,0.8445474440092292
SV1_C74444,C74444,0.9664212323593693
SV1_C22112,C22112,0.799316162419009
SV1_C68197,C68197,0.871738018927799
SV1_C86606,C86606,0.7147228193645319
SV1_C92571,C92571,0.7294261611187022
SV1_C64965,C64965,0.7282398455953141
SV1_C86759,C86759,0.9581035705623543
SV1_C02160,C02160,0.9161032830533169
SV1_C44094,C44094,0.9314582123313832
SV1_C99615,C99615,0.803723539330212
SV1_C97569,C97569,0.7198118944962578
SV1_C69284,C69284,0.7699981541476545
SV1_C91486,C91486,0.7663743607048985
SV1_C96125,C96125,0.7378921997873648
SV1_C90429,C90429,0.7059148146347003
