scenario_name,candidate_id,max_abs_r_vs_selected
SV1_C11154,C11154,0.7313214355169835
SV1_C81248,C81248,0.7075903216075473
SV1_C16944,C16944,0.8290244499360072
SV1_C52715,C52715,0.8116833668278649
SV1_C23562,C23562,0.7883385159948649
SV1_C32884,C32884,0.7591314865090252
SV1_C22218,C22218,0.8671718598591911
SV1_C92519,C92519,0.845523194401581
SV1_C59061,C59061,0.9606824463312733
SV1_C45986,C45986,0.7075630865343608
SV1_C66997,C66997,0.8035293220980714
SV1_C29475,C29475,0.7799384951160407
SV1_C91128,C91128,0.8653498330398107
SV1_C51350,C51350,0.9439077626740455
SV1_C90706,C90706,0.827050885764943
SV1_C76595,C76595,0.9045789035951516
SV1_C98880,C98880,0.7336371491539707
SV1_C02856,C02856,0.7541056368997512
SV1_C76785,C76785,0.8573426072669181
SV1_C74864,C74864,0.9316697680468679
SV1_C96746,C96746,0.9937000872044911
SV1_C07939,C07939,0.8587335085362965
SV1_C89076,C89076,0.863612913340105
SV1_C94097,C94097,0.7252530530724945
SV1_C67294,C67294,0.7296468383844947
SV1_C05599,C05599,0.8859576545410542
SV1_C10319,C10319,0.7452402540701436
SV1_C47217,C47217,0.7117984414196482
SV1_C03382,C03382,0.7943022793403538
SV1_C35408,C35408,0.9092131567579884
SV1_C73195,C73195,0.8291677080712082
SV1_C45710,C45710,0.8024441190140291
SV1_C28061,C28061,0.7192972398908657
SV1_C99144,C99144,0.7961737239319764
SV1_C84742,C84742,0.9305729188236295
SV1_C80979,C80979,0.7050757921325536
SV1_C54580,C54580,0.7958759637711097
SV1_C60360,C60360,0.7799126097988566
SV1_C52074,C52074,0.8754464535491547
SV1_C64674,C64674,0.9075313983703135
SV1_C23683,C23683,0.7838059600330002
SV1_C21868,C21868,0.8445474440092282
SV1_C74444,C74444,0.9664212323593694
SV1_C22112,C22112,0.7993161624190087
SV1_C68197,C68197,0.8717380189277988
SV1_C86606,C86606,0.7147228193645317
SV1_C92571,C92571,0.7294261611187023
SV1_C64965,C64965,0.7282398455953137
SV1_C86759,C86759,0.9581035705623543
SV1_C02160,C02160,0.9161032830533171
SV1_C44094,C44094,0.9314582123313833
SV1_C99615,C99615,0.8037235393302121
SV1_C97569,C97569,0.7198118944962579
SV1_C69284,C69284,0.7699981541476546
SV1_C91486,C91486,0.7663743607048987
SV1_C96125,C96125,0.7378921997873649
SV1_C90429,C90429,0.7059148146347007
SV1_C64778,C64778,0.8460181024958953
SV1_C10912,C10912,0.7356089746372731
SV1_C88791,C88791,0.8358325742210351
SV1_C37205,C37205,0.8467578184063801
SV1_C26632,C26632,0.9248889414011565
SV1_C52790,C52790,0.7657085623022591
SV1_C29622,C29622,0.806507434318254
SV1_C78484,C78484,0.8019221617707616
SV1_C85435,C85435,0.8098588993322064
SV1_C92385,C92385,0.7371091486725969
SV1_C50066,C50066,0.9504735530718412
SV1_C03966,C03966,0.9008036269023145
SV1_C63629,C63629,0.9732834809312847
SV1_C93146,C93146,0.7816160082446799
SV1_C89442,C89442,0.7473804867598209
SV1_C68556,C68556,0.7838860163329019
SV1_C80953,C80953,0.9687383575271409
SV1_C46045,C46045,0.8129979236093351
SV1_C92113,C92113,0.7604185074160019
SV1_C86548,C86548,0.8400483986135908
SV1_C63197,C63197,0.7385468974351216
SV1_C63792,C63792,0.7465655659756896
SV1_C23991,C23991,0.749589154711924
SV1_C09254,C09254,0.8365988976381351
SV1_C27038,C27038,0.7566772244028084
SV1_C24387,C24387,0.8945858541888453
SV1_C34305,C34305,0.8222370386652834
SV1_C82406,C82406,0.7691095356524182
SV1_C43757,C43757,0.8276312966711299
SV1_C28095,C28095,0.8044231333619491
SV1_C98719,C98719,0.8968230383784607
SV1_C59509,C59509,0.8804061780036988
SV1_C28354,C28354,0.8123894440399204
SV1_C44217,C44217,0.7764811103213006
SV1_C35482,C35482,0.9266041588653638
SV1_C51209,C51209,0.8111203321144482
SV1_C22787,C22787,0.7250143466309116
SV1_C15318,C15318,0.7192280015584133
SV1_C08497,C08497,0.8858900089536875
SV1_C01199,C01199,0.7144120225304316
SV1_C86783,C86783,0.8689410203772016
SV1_C03926,C03926,0.7588730647325439
SV1_C12576,C12576,0.9280240364551041
SV1_C84367,C84367,0.8450006172788345
SV1_C70582,C70582,0.7685937947169531
SV1_C17908,C17908,0.9378177102560631
SV1_C23271,C23271,0.7819199813849039
SV1_C00241,C00241,0.9136376529076742
SV1_C22962,C22962,0.7890389242628107
SV1_C97995,C97995,0.872375437370131
SV1_C10444,C10444,0.7916401353300606
SV1_C03552,C03552,0.7165234131157007
SV1_C22765,C22765,0.7787266182131516
SV1_C98039,C98039,0.8306002641313445
SV1_C86454,C86454,0.9404239221674
SV1_C77720,C77720,0.8604287201464679
SV1_C67099,C67099,0.7783594097562072
SV1_C58892,C58892,0.9218121451430857
SV1_C74467,C74467,0.7530661996780399
SV1_C46987,C46987,0.8509400374323435
SV1_C79272,C79272,0.8121988876706664
SV1_C68751,C68751,0.9742888441927767
SV1_C76352,C76352,0.992264593047429
SV1_C35030,C35030,0.832917586821098
SV1_C46235,C46235,0.8208652213165373
SV1_C47160,C47160,0.8927915039215049
SV1_C91959,C91959,0.705053842961508
SV1_C22583,C22583,0.7767387559293335
SV1_C52170,C52170,0.8360094641862708
SV1_C88972,C88972,0.9029518255994154
SV1_C66952,C66952,0.7203229038736043
SV1_C43361,C43361,0.7317584835510634
SV1_C92680,C92680,0.8293444931117738
SV1_C67447,C67447,0.8348462245320342
SV1_C04587,C04587,0.915248596547308
SV1_C25062,C25062,0.9053083750737968
SV1_C16362,C16362,0.7856448701498072
SV1_C79573,C79573,0.9493957936398526
SV1_C28201,C28201,0.8841933274621835
SV1_C97802,C97802,0.9435118326699409
SV1_C13897,C13897,0.7487293907421352
SV1_C89803,C89803,0.8186301600123902
SV1_C08764,C08764,0.8973873860467094
SV1_C12899,C12899,0.804073361972005
SV1_C01462,C01462,0.8006126287142841
SV1_C30942,C30942,0.8046846716668499
SV1_C95513,C95513,0.8232238933168226
SV1_C56112,C56112,0.7281097218018
SV1_C24210,C24210,0.8599434983917631
SV1_C90305,C90305,0.8706761092338914
SV1_C79932,C79932,0.924249662174309
SV1_C89507,C89507,0.8235141987309429
SV1_C33818,C33818,0.7478522010303573
SV1_C13644,C13644,0.7295680987640897
SV1_C69225,C69225,0.7854515029107251
SV1_C77117,C77117,0.7726864127494182
SV1_C57644,C57644,0.7686731832825405
SV1_C58298,C58298,0.8439528869467523
SV1_C79338,C79338,0.912415112198538
SV1_C62733,C62733,0.8362296060157424
SV1_C40576,C40576,0.9279650631175835
SV1_C74706,C74706,0.7966333337885803
SV1_C79330,C79330,0.9191629602152522
SV1_C23877,C23877,0.803078757075222
SV1_C63126,C63126,0.8781948001494561
SV1_C57118,C57118,0.8131877475897834
SV1_C65986,C65986,0.7832899148540671
SV1_C89837,C89837,0.7418733491683807
SV1_C07535,C07535,0.7777300627469801
SV1_C29116,C29116,0.7515767493796978
SV1_C14213,C14213,0.9067459411461125
SV1_C99118,C99118,0.811200209485027
SV1_C98368,C98368,0.8744628630148447
SV1_C25812,C25812,0.8404661530450042
SV1_C87004,C87004,0.83963554916903
SV1_C100669,C100669,0.7026152733612057
SV1_C72405,C72405,0.8658627452694196
SV1_C34315,C34315,0.7775715024386759
SV1_C82938,C82938,0.9221297347661421
SV1_C29656,C29656,0.9064861182544902
SV1_C70055,C70055,0.7081459815371868
SV1_C48152,C48152,0.7633970822492927
SV1_C15972,C15972,0.8832326936564484
SV1_C76687,C76687,0.8131842209358017
SV1_C62524,C62524,0.8498080544974405
SV1_C84136,C84136,0.9181249866424595
SV1_C34583,C34583,0.7817759991631738
SV1_C08819,C08819,0.8102914526498095
SV1_C49260,C49260,0.7540488327100481
SV1_C92555,C92555,0.7466640631665309
SV1_C35837,C35837,0.9073772970016373
SV1_C45859,C45859,0.7303112614482332
SV1_C70917,C70917,0.8043346594231882
SV1_C96458,C96458,0.9347198666397973
SV1_C00622,C00622,0.7942803626211834
SV1_C73214,C73214,0.9096662054682101
SV1_C86813,C86813,0.9679020907015222
SV1_C10563,C10563,0.8350231354801654
SV1_C67272,C67272,0.7840285564241023
SV1_C67539,C67539,0.9584689316088604
SV1_C16208,C16208,0.8643453826646225
