duplicate_scenario,duplicate_candidate_id,representative_scenario,representative_candidate_id,feature_set
SV1_C00048,C00048,SV1_C00024,C00024,full46
SV1_C00049,C00049,SV1_C00025,C00025,full46
SV1_C00050,C00050,SV1_C00026,C00026,full46
SV1_C00051,C00051,SV1_C00027,C00027,full46
SV1_C00052,C00052,SV1_C00028,C00028,full46
SV1_C00053,C00053,SV1_C00029,C00029,full46
SV1_C00054,C00054,SV1_C00030,C00030,full46
SV1_C00055,C00055,SV1_C00031,C00031,full46
SV1_C00056,C00056,SV1_C00032,C00032,full46
SV1_C00057,C00057,SV1_C00033,C00033,full46
SV1_C00058,C00058,SV1_C00034,C00034,full46
SV1_C00059,C00059,SV1_C00035,C00035,full46
SV1_C00060,C00060,SV1_C00036,C00036,full46
SV1_C00061,C00061,SV1_C00037,C00037,full46
SV1_C00062,C00062,SV1_C00038,C00038,full46
SV1_C00063,C00063,SV1_C00039,C00039,full46
SV1_C00064,C00064,SV1_C00040,C00040,full46
SV1_C00065,C00065,SV1_C00041,C00041,full46
SV1_C00066,C00066,SV1_C00042,C00042,full46
SV1_C00067,C00067,SV1_C00043,C00043,full46
SV1_C00068,C00068,SV1_C00044,C00044,full46
SV1_C00069,C00069,SV1_C00045,C00045,full46
SV1_C00070,C00070,SV1_C00046,C00046,full46
SV1_C00071,C00071,SV1_C00047,C00047,full46
SV1_C00168,C00168,SV1_C00144,C00144,full46
SV1_C00169,C00169,SV1_C00145,C00145,full46
SV1_C00170,C00170,SV1_C00146,C00146,full46
SV1_C00171,C00171,SV1_C00147,C00147,full46
SV1_C00172,C00172,SV1_C00148,C00148,full46
SV1_C00173,C00173,SV1_C00149,C00149,full46
SV1_C00174,C00174,SV1_C00150,C00150,full46
SV1_C00175,C00175,SV1_C00151,C00151,full46
SV1_C00176,C00176,SV1_C00152,C00152,full46
SV1_C00177,C00177,SV1_C00153,C00153,full46
SV1_C00178,C00178,SV1_C00154,C00154,full46
SV1_C00179,C00179,SV1_C00155,C00155,full46
SV1_C00180,C00180,SV1_C00156,C00156,full46
SV1_C00181,C00181,SV1_C00157,C00157,full46
SV1_C00182,C00182,SV1_C00158,C00158,full46
SV1_C00183,C00183,SV1_C00159,C00159,full46
SV1_C00184,C00184,SV1_C00160,C00160,full46
SV1_C00185,C00185,SV1_C00161,C00161,full46
SV1_C00186,C00186,SV1_C00162,C00162,full46
SV1_C00187,C00187,SV1_C00163,C00163,full46
SV1_C00188,C00188,SV1_C00164,C00164,full46
SV1_C00189,C00189,SV1_C00165,C00165,full46
SV1_C00190,C00190,SV1_C00166,C00166,full46
SV1_C00191,C00191,SV1_C00167,C00167,full46
SV1_C00288,C00288,SV1_C00264,C00264,full46
SV1_C00289,C00289,SV1_C00265,C00265,full46
SV1_C00290,C00290,SV1_C00266,C00266,full46
SV1_C00291,C00291,SV1_C00267,C00267,full46
SV1_C00292,C00292,SV1_C00268,C00268,full46
SV1_C00293,C00293,SV1_C00269,C00269,full46
SV1_C00294,C00294,SV1_C00270,C00270,full46
SV1_C00295,C00295,SV1_C00271,C00271,full46
SV1_C00296,C00296,SV1_C00272,C00272,full46
SV1_C00297,C00297,SV1_C00273,C00273,full46
SV1_C00298,C00298,SV1_C00274,C00274,full46
SV1_C00299,C00299,SV1_C00275,C00275,full46
SV1_C00300,C00300,SV1_C00276,C00276,full46
SV1_C00301,C00301,SV1_C00277,C00277,full46
SV1_C00302,C00302,SV1_C00278,C00278,full46
SV1_C00303,C00303,SV1_C00279,C00279,full46
SV1_C00304,C00304,SV1_C00280,C00280,full46
SV1_C00305,C00305,SV1_C00281,C00281,full46
SV1_C00306,C00306,SV1_C00282,C00282,full46
SV1_C00307,C00307,SV1_C00283,C00283,full46
SV1_C00308,C00308,SV1_C00284,C00284,full46
SV1_C00309,C00309,SV1_C00285,C00285,full46
SV1_C00310,C00310,SV1_C00286,C00286,full46
SV1_C00311,C00311,SV1_C00287,C00287,full46
SV1_C00408,C00408,SV1_C00384,C00384,full46
SV1_C00409,C00409,SV1_C00385,C00385,full46
SV1_C00410,C00410,SV1_C00386,C00386,full46
SV1_C00411,C00411,SV1_C00387,C00387,full46
SV1_C00412,C00412,SV1_C00388,C00388,full46
SV1_C00413,C00413,SV1_C00389,C00389,full46
SV1_C00414,C00414,SV1_C00390,C00390,full46
SV1_C00415,C00415,SV1_C00391,C00391,full46
SV1_C00416,C00416,SV1_C00392,C00392,full46
SV1_C00417,C00417,SV1_C00393,C00393,full46
SV1_C00418,C00418,SV1_C00394,C00394,full46
SV1_C00419,C00419,SV1_C00395,C00395,full46
SV1_C00420,C00420,SV1_C00396,C00396,full46
SV1_C00421,C00421,SV1_C00397,C00397,full46
SV1_C00422,C00422,SV1_C00398,C00398,full46
SV1_C00423,C00423,SV1_C00399,C00399,full46
SV1_C00424,C00424,SV1_C00400,C00400,full46
SV1_C00425,C00425,SV1_C00401,C00401,full46
SV1_C00426,C00426,SV1_C00402,C00402,full46
SV1_C00427,C00427,SV1_C00403,C00403,full46
SV1_C00428,C00428,SV1_C00404,C00404,full46
SV1_C00429,C00429,SV1_C00405,C00405,full46
SV1_C00430,C00430,SV1_C00406,C00406,full46
SV1_C00431,C00431,SV1_C00407,C00407,full46
SV1_C00528,C00528,SV1_C00504,C00504,full46
SV1_C00529,C00529,SV1_C00505,C00505,full46
SV1_C00530,C00530,SV1_C00506,C00506,full46
SV1_C00531,C00531,SV1_C00507,C00507,full46
SV1_C00532,C00532,SV1_C00508,C00508,full46
SV1_C00533,C00533,SV1_C00509,C00509,full46
SV1_C00534,C00534,SV1_C00510,C00510,full46
SV1_C00535,C00535,SV1_C00511,C00511,full46
