candidate_id,param_id,scenario_name,settings_file,map_id,movement_model,n_hosts,end_time_s,end_time_hours,group_structure,transmit_range_m,buffer_size,router,rng_seed,scenario_index
C26051,P26051,SV1_C26051,scenario_space_v1/settings/SV1_C26051.settings,HelsinkiDowntown,BusMovement,120,14400,4.0,single_homogeneous,20,100M,EpidemicRouter,27051,26051
C90015,P90015,SV1_C90015,scenario_space_v1/settings/SV1_C90015.settings,NuuksioSparseTrails,MapRouteMovement,100,7200,2.0,single_homogeneous,50,100M,EpidemicRouter,91015,90015
C55722,P55722,SV1_C55722,scenario_space_v1/settings/SV1_C55722.settings,KallioCommunityCompact,ShortestPathMapBasedMovement,150,86400,24.0,pedestrian_transit,100,50M,EpidemicRouter,56722,55722
C88438,P88438,SV1_C88438,scenario_space_v1/settings/SV1_C88438.settings,NuuksioSparseTrails,MapRouteMovement,60,10800,3.0,cluster_nomadic,200,50M,EpidemicRouter,89438,88438
C01351,P01351,SV1_C01351,scenario_space_v1/settings/SV1_C01351.settings,HelsinkiDisrupted,ClusterMovement,50,10800,3.0,pedestrian_transit,10,100M,EpidemicRouter,2351,1351
C21366,P21366,SV1_C21366,scenario_space_v1/settings/SV1_C21366.settings,HelsinkiDisrupted,ShortestPathMapBasedMovement,300,43200,12.0,single_homogeneous,10,50M,EpidemicRouter,22366,21366
C51824,P51824,SV1_C51824,scenario_space_v1/settings/SV1_C51824.settings,KallioCommunityCompact,ShortestPathMapBasedMovement,50,10800,3.0,cluster_nomadic,20,5M,EpidemicRouter,52824,51824
C11154,P11154,SV1_C11154,scenario_space_v1/settings/SV1_C11154.settings,HelsinkiDisrupted,MapRouteMovement,100,14400,4.0,cluster_nomadic,100,50M,EpidemicRouter,12154,11154
C89218,P89218,SV1_C89218,scenario_space_v1/settings/SV1_C89218.settings,NuuksioSparseTrails,MapRouteMovement,70,43200,12.0,pedestrian_vehicle,20,50M,EpidemicRouter,90218,89218
C25399,P25399,SV1_C25399,scenario_space_v1/settings/SV1_C25399.settings,HelsinkiDowntown,BusMovement,100,10800,3.0,pedestrian_shortestpath_heterogeneous,10,100M,EpidemicRouter,26399,25399
C95066,P95066,SV1_C95066,scenario_space_v1/settings/SV1_C95066.settings,NuuksioSparseTrails,ShortestPathMapBasedMovement,50,14400,4.0,pedestrian_transit,5,50M,EpidemicRouter,96066,95066
C66361,P66361,SV1_C66361,scenario_space_v1/settings/SV1_C66361.settings,ManhattanMidtownGrid,BusMovement,50,43200,12.0,single_homogeneous,5,20M,EpidemicRouter,67361,66361
C59077,P59077,SV1_C59077,scenario_space_v1/settings/SV1_C59077.settings,KumpulaCampus,ShortestPathMapBasedMovement,50,14400,4.0,pedestrian_transit,50,20M,EpidemicRouter,60077,59077
C06238,P06238,SV1_C06238,scenario_space_v1/settings/SV1_C06238.settings,HelsinkiDisrupted,ClusterMovement,250,10800,3.0,cluster_nomadic,200,50M,EpidemicRouter,7238,6238
C81248,P81248,SV1_C81248,scenario_space_v1/settings/SV1_C81248.settings,ManhattanMidtownGrid,ShortestPathMapBasedMovement,60,14400,4.0,single_homogeneous,20,5M,EpidemicRouter,82248,81248
C76952,P76952,SV1_C76952,scenario_space_v1/settings/SV1_C76952.settings,ManhattanMidtownGrid,MapRouteMovement,150,10800,3.0,pedestrian_transit,20,5M,EpidemicRouter,77952,76952
C59195,P59195,SV1_C59195,scenario_space_v1/settings/SV1_C59195.settings,KumpulaCampus,ShortestPathMapBasedMovement,50,43200,12.0,pedestrian_transit,20,100M,EpidemicRouter,60195,59195
C44095,P44095,SV1_C44095,scenario_space_v1/settings/SV1_C44095.settings,KallioCommunityCompact,MapRouteMovement,40,14400,4.0,pedestrian_vehicle,10,100M,EpidemicRouter,45095,44095
C21815,P21815,SV1_C21815,scenario_space_v1/settings/SV1_C21815.settings,HelsinkiDowntown,BusMovement,30,10800,3.0,pedestrian_shortestpath_heterogeneous,200,100M,EpidemicRouter,22815,21815
C10244,P10244,SV1_C10244,scenario_space_v1/settings/SV1_C10244.settings,HelsinkiDisrupted,MapRouteMovement,80,7200,2.0,pedestrian_transit,200,5M,EpidemicRouter,11244,10244
C76119,P76119,SV1_C76119,scenario_space_v1/settings/SV1_C76119.settings,ManhattanMidtownGrid,MapRouteMovement,100,86400,24.0,pedestrian_transit,50,100M,EpidemicRouter,77119,76119
C23562,P23562,SV1_C23562,scenario_space_v1/settings/SV1_C23562.settings,HelsinkiDowntown,BusMovement,60,10800,3.0,pedestrian_transit,100,50M,EpidemicRouter,24562,23562
C25171,P25171,SV1_C25171,scenario_space_v1/settings/SV1_C25171.settings,HelsinkiDowntown,BusMovement,80,86400,24.0,pedestrian_shortestpath_heterogeneous,100,100M,EpidemicRouter,26171,25171
C70284,P70284,SV1_C70284,scenario_space_v1/settings/SV1_C70284.settings,ManhattanMidtownGrid,BusMovement,200,7200,2.0,pedestrian_shortestpath_heterogeneous,50,5M,EpidemicRouter,71284,70284
C32884,P32884,SV1_C32884,scenario_space_v1/settings/SV1_C32884.settings,HelsinkiDowntown,ShortestPathMapBasedMovement,100,86400,24.0,single_homogeneous,10,5M,EpidemicRouter,33884,32884
C59061,P59061,SV1_C59061,scenario_space_v1/settings/SV1_C59061.settings,KumpulaCampus,ShortestPathMapBasedMovement,50,14400,4.0,single_homogeneous,200,20M,EpidemicRouter,60061,59061
C24109,P24109,SV1_C24109,scenario_space_v1/settings/SV1_C24109.settings,HelsinkiDowntown,BusMovement,70,7200,2.0,cluster_nomadic,50,20M,EpidemicRouter,25109,24109
C45986,P45986,SV1_C45986,scenario_space_v1/settings/SV1_C45986.settings,KallioCommunityCompact,MapRouteMovement,70,43200,12.0,pedestrian_transit,5,50M,EpidemicRouter,46986,45986
C65305,P65305,SV1_C65305,scenario_space_v1/settings/SV1_C65305.settings,ManhattanMidtownGrid,BusMovement,30,86400,24.0,pedestrian_transit,5,20M,EpidemicRouter,66305,65305
C29475,P29475,SV1_C29475,scenario_space_v1/settings/SV1_C29475.settings,HelsinkiDowntown,ShortestPathMapBasedMovement,40,7200,2.0,pedestrian_shortestpath_heterogeneous,5,100M,EpidemicRouter,30475,29475
C04932,P04932,SV1_C04932,scenario_space_v1/settings/SV1_C04932.settings,HelsinkiDisrupted,ClusterMovement,150,10800,3.0,single_homogeneous,50,5M,EpidemicRouter,5932,4932
C49227,P49227,SV1_C49227,scenario_space_v1/settings/SV1_C49227.settings,KallioCommunityCompact,MapRouteMovement,250,7200,2.0,pedestrian_transit,5,100M,EpidemicRouter,50227,49227
C02856,P02856,SV1_C02856,scenario_space_v1/settings/SV1_C02856.settings,HelsinkiDisrupted,ClusterMovement,70,43200,12.0,cluster_nomadic,5,5M,EpidemicRouter,3856,2856
C76785,P76785,SV1_C76785,scenario_space_v1/settings/SV1_C76785.settings,ManhattanMidtownGrid,MapRouteMovement,120,86400,24.0,cluster_nomadic,20,20M,EpidemicRouter,77785,76785
C06322,P06322,SV1_C06322,scenario_space_v1/settings/SV1_C06322.settings,HelsinkiDisrupted,ClusterMovement,250,14400,4.0,pedestrian_shortestpath_heterogeneous,20,50M,EpidemicRouter,7322,6322
C50842,P50842,SV1_C50842,scenario_space_v1/settings/SV1_C50842.settings,KallioCommunityCompact,ShortestPathMapBasedMovement,30,43200,12.0,pedestrian_shortestpath_heterogeneous,20,50M,EpidemicRouter,51842,50842
C63348,P63348,SV1_C63348,scenario_space_v1/settings/SV1_C63348.settings,KumpulaCampus,ShortestPathMapBasedMovement,200,14400,4.0,cluster_nomadic,50,5M,EpidemicRouter,64348,63348
C67294,P67294,SV1_C67294,scenario_space_v1/settings/SV1_C67294.settings,ManhattanMidtownGrid,BusMovement,70,7200,2.0,pedestrian_shortestpath_heterogeneous,200,50M,EpidemicRouter,68294,67294
C63277,P63277,SV1_C63277,scenario_space_v1/settings/SV1_C63277.settings,KumpulaCampus,ShortestPathMapBasedMovement,200,14400,4.0,pedestrian_transit,50,20M,EpidemicRouter,64277,63277
C47217,P47217,SV1_C47217,scenario_space_v1/settings/SV1_C47217.settings,KallioCommunityCompact,MapRouteMovement,100,43200,12.0,pedestrian_vehicle,20,20M,EpidemicRouter,48217,47217
C03382,P03382,SV1_C03382,scenario_space_v1/settings/SV1_C03382.settings,HelsinkiDisrupted,ClusterMovement,80,43200,12.0,single_homogeneous,200,50M,EpidemicRouter,4382,3382
C73195,P73195,SV1_C73195,scenario_space_v1/settings/SV1_C73195.settings,ManhattanMidtownGrid,MapRouteMovement,40,86400,24.0,cluster_nomadic,100,100M,EpidemicRouter,74195,73195
C28061,P28061,SV1_C28061,scenario_space_v1/settings/SV1_C28061.settings,HelsinkiDowntown,BusMovement,250,43200,12.0,cluster_nomadic,10,20M,EpidemicRouter,29061,28061
C99144,P99144,SV1_C99144,scenario_space_v1/settings/SV1_C99144.settings,NuuksioSparseTrails,ShortestPathMapBasedMovement,200,10800,3.0,pedestrian_transit,5,5M,EpidemicRouter,100144,99144
C11352,P11352,SV1_C11352,scenario_space_v1/settings/SV1_C11352.settings,HelsinkiDisrupted,MapRouteMovement,100,86400,24.0,pedestrian_shortestpath_heterogeneous,5,5M,EpidemicRouter,12352,11352
C54580,P54580,SV1_C54580,scenario_space_v1/settings/SV1_C54580.settings,KallioCommunityCompact,ShortestPathMapBasedMovement,100,86400,24.0,cluster_nomadic,10,5M,EpidemicRouter,55580,54580
C09497,P09497,SV1_C09497,scenario_space_v1/settings/SV1_C09497.settings,HelsinkiDisrupted,MapRouteMovement,60,86400,24.0,single_homogeneous,100,20M,EpidemicRouter,10497,9497
C48728,P48728,SV1_C48728,scenario_space_v1/settings/SV1_C48728.settings,KallioCommunityCompact,MapRouteMovement,200,10800,3.0,single_homogeneous,20,5M,EpidemicRouter,49728,48728
C38898,P38898,SV1_C38898,scenario_space_v1/settings/SV1_C38898.settings,HelsinkiDowntown,WorkingDayMovement,70,86400,24.0,single_homogeneous,100,50M,EpidemicRouter,39898,38898
C22112,P22112,SV1_C22112,scenario_space_v1/settings/SV1_C22112.settings,HelsinkiDowntown,BusMovement,30,86400,24.0,pedestrian_transit,20,5M,EpidemicRouter,23112,22112
C86606,P86606,SV1_C86606,scenario_space_v1/settings/SV1_C86606.settings,NuuksioSparseTrails,MapRouteMovement,30,10800,3.0,pedestrian_shortestpath_heterogeneous,50,50M,EpidemicRouter,87606,86606
C69947,P69947,SV1_C69947,scenario_space_v1/settings/SV1_C69947.settings,ManhattanMidtownGrid,BusMovement,150,14400,4.0,cluster_nomadic,20,100M,EpidemicRouter,70947,69947
C92571,P92571,SV1_C92571,scenario_space_v1/settings/SV1_C92571.settings,NuuksioSparseTrails,MapRouteMovement,250,10800,3.0,pedestrian_vehicle,5,100M,EpidemicRouter,93571,92571
C64965,P64965,SV1_C64965,scenario_space_v1/settings/SV1_C64965.settings,ManhattanMidtownGrid,BusMovement,30,10800,3.0,pedestrian_transit,200,20M,EpidemicRouter,65965,64965
C15208,P15208,SV1_C15208,scenario_space_v1/settings/SV1_C15208.settings,HelsinkiDisrupted,ShortestPathMapBasedMovement,40,10800,3.0,pedestrian_shortestpath_heterogeneous,100,5M,EpidemicRouter,16208,15208
C80964,P80964,SV1_C80964,scenario_space_v1/settings/SV1_C80964.settings,ManhattanMidtownGrid,ShortestPathMapBasedMovement,50,86400,24.0,pedestrian_shortestpath_heterogeneous,50,5M,EpidemicRouter,81964,80964
C91486,P91486,SV1_C91486,scenario_space_v1/settings/SV1_C91486.settings,NuuksioSparseTrails,MapRouteMovement,150,14400,4.0,pedestrian_transit,200,50M,EpidemicRouter,92486,91486
C90429,P90429,SV1_C90429,scenario_space_v1/settings/SV1_C90429.settings,NuuksioSparseTrails,MapRouteMovement,100,43200,12.0,pedestrian_vehicle,200,20M,EpidemicRouter,91429,90429
C48208,P48208,SV1_C48208,scenario_space_v1/settings/SV1_C48208.settings,KallioCommunityCompact,MapRouteMovement,150,10800,3.0,pedestrian_shortestpath_heterogeneous,100,5M,EpidemicRouter,49208,48208
C99082,P99082,SV1_C99082,scenario_space_v1/settings/SV1_C99082.settings,NuuksioSparseTrails,ShortestPathMapBasedMovement,200,7200,2.0,pedestrian_shortestpath_heterogeneous,20,50M,EpidemicRouter,100082,99082
C49190,P49190,SV1_C49190,scenario_space_v1/settings/SV1_C49190.settings,KallioCommunityCompact,MapRouteMovement,200,86400,24.0,cluster_nomadic,50,50M,EpidemicRouter,50190,49190
C93146,P93146,SV1_C93146,scenario_space_v1/settings/SV1_C93146.settings,NuuksioSparseTrails,MapRouteMovement,300,10800,3.0,pedestrian_transit,5,50M,EpidemicRouter,94146,93146
C60453,P60453,SV1_C60453,scenario_space_v1/settings/SV1_C60453.settings,KumpulaCampus,ShortestPathMapBasedMovement,70,43200,12.0,pedestrian_shortestpath_heterogeneous,200,20M,EpidemicRouter,61453,60453
C44348,P44348,SV1_C44348,scenario_space_v1/settings/SV1_C44348.settings,KallioCommunityCompact,MapRouteMovement,40,86400,24.0,pedestrian_vehicle,200,5M,EpidemicRouter,45348,44348
C95990,P95990,SV1_C95990,scenario_space_v1/settings/SV1_C95990.settings,NuuksioSparseTrails,ShortestPathMapBasedMovement,60,86400,24.0,cluster_nomadic,50,50M,EpidemicRouter,96990,95990
C92113,P92113,SV1_C92113,scenario_space_v1/settings/SV1_C92113.settings,NuuksioSparseTrails,MapRouteMovement,200,14400,4.0,pedestrian_shortestpath_heterogeneous,5,20M,EpidemicRouter,93113,92113
C63197,P63197,SV1_C63197,scenario_space_v1/settings/SV1_C63197.settings,KumpulaCampus,ShortestPathMapBasedMovement,200,10800,3.0,pedestrian_shortestpath_heterogeneous,10,20M,EpidemicRouter,64197,63197
C23991,P23991,SV1_C23991,scenario_space_v1/settings/SV1_C23991.settings,HelsinkiDowntown,BusMovement,60,86400,24.0,cluster_nomadic,50,100M,EpidemicRouter,24991,23991
C27038,P27038,SV1_C27038,scenario_space_v1/settings/SV1_C27038.settings,HelsinkiDowntown,BusMovement,200,7200,2.0,pedestrian_transit,50,50M,EpidemicRouter,28038,27038
C82406,P82406,SV1_C82406,scenario_space_v1/settings/SV1_C82406.settings,ManhattanMidtownGrid,ShortestPathMapBasedMovement,80,10800,3.0,pedestrian_shortestpath_heterogeneous,50,50M,EpidemicRouter,83406,82406
C14182,P14182,SV1_C14182,scenario_space_v1/settings/SV1_C14182.settings,HelsinkiDisrupted,MapRouteMovement,300,43200,12.0,single_homogeneous,200,50M,EpidemicRouter,15182,14182
C35729,P35729,SV1_C35729,scenario_space_v1/settings/SV1_C35729.settings,HelsinkiDowntown,ShortestPathMapBasedMovement,300,14400,4.0,pedestrian_shortestpath_heterogeneous,100,20M,EpidemicRouter,36729,35729
C04763,P04763,SV1_C04763,scenario_space_v1/settings/SV1_C04763.settings,HelsinkiDisrupted,ClusterMovement,120,86400,24.0,pedestrian_shortestpath_heterogeneous,20,100M,EpidemicRouter,5763,4763
C01199,P01199,SV1_C01199,scenario_space_v1/settings/SV1_C01199.settings,HelsinkiDisrupted,ClusterMovement,40,86400,24.0,cluster_nomadic,200,100M,EpidemicRouter,2199,1199
C44267,P44267,SV1_C44267,scenario_space_v1/settings/SV1_C44267.settings,KallioCommunityCompact,MapRouteMovement,40,43200,12.0,cluster_nomadic,20,100M,EpidemicRouter,45267,44267
C03926,P03926,SV1_C03926,scenario_space_v1/settings/SV1_C03926.settings,HelsinkiDisrupted,ClusterMovement,100,14400,4.0,pedestrian_shortestpath_heterogeneous,50,50M,EpidemicRouter,4926,3926
C70582,P70582,SV1_C70582,scenario_space_v1/settings/SV1_C70582.settings,ManhattanMidtownGrid,BusMovement,200,43200,12.0,single_homogeneous,200,50M,EpidemicRouter,71582,70582
C30450,P30450,SV1_C30450,scenario_space_v1/settings/SV1_C30450.settings,HelsinkiDowntown,ShortestPathMapBasedMovement,50,43200,12.0,pedestrian_shortestpath_heterogeneous,100,50M,EpidemicRouter,31450,30450
C10444,P10444,SV1_C10444,scenario_space_v1/settings/SV1_C10444.settings,HelsinkiDisrupted,MapRouteMovement,80,14400,4.0,single_homogeneous,10,5M,EpidemicRouter,11444,10444
C22765,P22765,SV1_C22765,scenario_space_v1/settings/SV1_C22765.settings,HelsinkiDowntown,BusMovement,40,86400,24.0,pedestrian_shortestpath_heterogeneous,50,20M,EpidemicRouter,23765,22765
