dimension,value,full_count,selected_count,retention_pct
buffer_size,100M,25200,191,0.7579365079365079
buffer_size,20M,25200,102,0.40476190476190477
buffer_size,50M,25200,131,0.5198412698412699
buffer_size,5M,25200,122,0.48412698412698413
density_bin,high,0,0,0.0
density_bin,low,28800,211,0.7326388888888888
density_bin,medium,2400,15,0.625
density_bin,very_low,69600,320,0.45977011494252873
group_structure,cluster_nomadic,20160,101,0.5009920634920635
group_structure,pedestrian_shortestpath_heterogeneous,20160,187,0.9275793650793651
group_structure,pedestrian_transit,20160,138,0.6845238095238095
group_structure,pedestrian_vehicle,20160,46,0.22817460317460317
group_structure,single_homogeneous,20160,74,0.36706349206349204
map_id,HelsinkiDisrupted,21600,129,0.5972222222222222
map_id,HelsinkiDowntown,21600,88,0.4074074074074074
map_id,KallioCommunityCompact,14400,93,0.6458333333333334
map_id,KumpulaCampus,7200,41,0.5694444444444444
map_id,ManhattanMidtownGrid,21600,119,0.5509259259259259
map_id,NuuksioSparseTrails,14400,76,0.5277777777777778
movement_model_primary,BusMovement,14400,111,0.7708333333333334
movement_model_primary,ClusterMovement,7200,44,0.6111111111111112
movement_model_primary,MapRouteMovement,28800,186,0.6458333333333334
movement_model_primary,ShortestPathMapBasedMovement,43200,199,0.46064814814814814
movement_model_primary,WorkingDayMovement,7200,6,0.08333333333333333
n_hosts,100,8400,27,0.32142857142857145
n_hosts,120,8400,42,0.5
n_hosts,150,8400,70,0.8333333333333334
n_hosts,200,8400,67,0.7976190476190477
n_hosts,250,8400,64,0.7619047619047619
n_hosts,30,8400,44,0.5238095238095238
n_hosts,300,8400,72,0.8571428571428571
n_hosts,40,8400,37,0.44047619047619047
n_hosts,50,8400,25,0.2976190476190476
n_hosts,60,8400,35,0.4166666666666667
n_hosts,70,8400,33,0.39285714285714285
n_hosts,80,8400,30,0.35714285714285715
n_hosts_bin,101-150,16800,112,0.6666666666666666
n_hosts_bin,151-200,8400,67,0.7976190476190477
n_hosts_bin,61-100,25200,90,0.35714285714285715
n_hosts_bin,<=60,33600,141,0.41964285714285715
n_hosts_bin,>200,16800,136,0.8095238095238095
scenario_class,HelsinkiDisrupted|ClusterMovement,7200,44,0.6111111111111112
scenario_class,HelsinkiDisrupted|MapRouteMovement,7200,51,0.7083333333333334
scenario_class,HelsinkiDisrupted|ShortestPathMapBasedMovement,7200,34,0.4722222222222222
scenario_class,HelsinkiDowntown|BusMovement,7200,54,0.75
scenario_class,HelsinkiDowntown|ShortestPathMapBasedMovement,7200,28,0.3888888888888889
scenario_class,HelsinkiDowntown|WorkingDayMovement,7200,6,0.08333333333333333
scenario_class,KallioCommunityCompact|MapRouteMovement,7200,55,0.7638888888888888
scenario_class,KallioCommunityCompact|ShortestPathMapBasedMovement,7200,38,0.5277777777777778
scenario_class,KumpulaCampus|ShortestPathMapBasedMovement,7200,41,0.5694444444444444
scenario_class,ManhattanMidtownGrid|BusMovement,7200,57,0.7916666666666666
scenario_class,ManhattanMidtownGrid|MapRouteMovement,7200,37,0.5138888888888888
scenario_class,ManhattanMidtownGrid|ShortestPathMapBasedMovement,7200,25,0.3472222222222222
scenario_class,NuuksioSparseTrails|MapRouteMovement,7200,43,0.5972222222222222
scenario_class,NuuksioSparseTrails|ShortestPathMapBasedMovement,7200,33,0.4583333333333333
transmit_range_m,10,16800,50,0.2976190476190476
transmit_range_m,100,16800,135,0.8035714285714286
transmit_range_m,20,16800,65,0.3869047619047619
transmit_range_m,200,16800,161,0.9583333333333334
transmit_range_m,5,16800,58,0.34523809523809523
transmit_range_m,50,16800,77,0.4583333333333333
