candidate_id,param_id,scenario_name,settings_file,map_id,movement_model,n_hosts,end_time_s,end_time_hours,group_structure,transmit_range_m,buffer_size,router,rng_seed,scenario_index
C57614,P57614,SV1_C57614,scenario_space_v1/settings/SV1_C57614.settings,KumpulaCampus,ShortestPathMapBasedMovement,30,7200,2.0,single_homogeneous,50,50M,EpidemicRouter,58614,57614
C61898,P61898,SV1_C61898,scenario_space_v1/settings/SV1_C61898.settings,KumpulaCampus,ShortestPathMapBasedMovement,120,7200,2.0,cluster_nomadic,5,50M,EpidemicRouter,62898,61898
C91218,P91218,SV1_C91218,scenario_space_v1/settings/SV1_C91218.settings,NuuksioSparseTrails,MapRouteMovement,150,7200,2.0,single_homogeneous,100,50M,EpidemicRouter,92218,91218
C72119,P72119,SV1_C72119,scenario_space_v1/settings/SV1_C72119.settings,ManhattanMidtownGrid,MapRouteMovement,30,7200,2.0,cluster_nomadic,200,100M,EpidemicRouter,73119,72119
C45105,P45105,SV1_C45105,scenario_space_v1/settings/SV1_C45105.settings,KallioCommunityCompact,MapRouteMovement,60,7200,2.0,cluster_nomadic,20,20M,EpidemicRouter,46105,45105
C17446,P17446,SV1_C17446,scenario_space_v1/settings/SV1_C17446.settings,HelsinkiDisrupted,ShortestPathMapBasedMovement,80,7200,2.0,pedestrian_transit,200,50M,EpidemicRouter,18446,17446
C45057,P45057,SV1_C45057,scenario_space_v1/settings/SV1_C45057.settings,KallioCommunityCompact,MapRouteMovement,60,7200,2.0,pedestrian_vehicle,20,20M,EpidemicRouter,46057,45057
C55229,P55229,SV1_C55229,scenario_space_v1/settings/SV1_C55229.settings,KallioCommunityCompact,ShortestPathMapBasedMovement,150,7200,2.0,pedestrian_transit,10,20M,EpidemicRouter,56229,55229
C67902,P67902,SV1_C67902,scenario_space_v1/settings/SV1_C67902.settings,ManhattanMidtownGrid,BusMovement,80,7200,2.0,cluster_nomadic,10,50M,EpidemicRouter,68902,67902
C08477,P08477,SV1_C08477,scenario_space_v1/settings/SV1_C08477.settings,HelsinkiDisrupted,MapRouteMovement,50,7200,2.0,pedestrian_shortestpath_heterogeneous,10,20M,EpidemicRouter,9477,8477
C97804,P97804,SV1_C97804,scenario_space_v1/settings/SV1_C97804.settings,NuuksioSparseTrails,ShortestPathMapBasedMovement,120,7200,2.0,single_homogeneous,10,5M,EpidemicRouter,98804,97804
C77425,P77425,SV1_C77425,scenario_space_v1/settings/SV1_C77425.settings,ManhattanMidtownGrid,MapRouteMovement,200,7200,2.0,pedestrian_transit,5,20M,EpidemicRouter,78425,77425
C87055,P87055,SV1_C87055,scenario_space_v1/settings/SV1_C87055.settings,NuuksioSparseTrails,MapRouteMovement,40,7200,2.0,pedestrian_vehicle,10,100M,EpidemicRouter,88055,87055
C06692,P06692,SV1_C06692,scenario_space_v1/settings/SV1_C06692.settings,HelsinkiDisrupted,ClusterMovement,300,7200,2.0,pedestrian_shortestpath_heterogeneous,200,5M,EpidemicRouter,7692,6692
C68486,P68486,SV1_C68486,scenario_space_v1/settings/SV1_C68486.settings,ManhattanMidtownGrid,BusMovement,100,7200,2.0,pedestrian_shortestpath_heterogeneous,50,50M,EpidemicRouter,69486,68486
C49862,P49862,SV1_C49862,scenario_space_v1/settings/SV1_C49862.settings,KallioCommunityCompact,MapRouteMovement,300,7200,2.0,pedestrian_vehicle,50,50M,EpidemicRouter,50862,49862
C54094,P54094,SV1_C54094,scenario_space_v1/settings/SV1_C54094.settings,KallioCommunityCompact,ShortestPathMapBasedMovement,100,7200,2.0,pedestrian_shortestpath_heterogeneous,200,50M,EpidemicRouter,55094,54094
C11491,P11491,SV1_C11491,scenario_space_v1/settings/SV1_C11491.settings,HelsinkiDisrupted,MapRouteMovement,120,7200,2.0,pedestrian_shortestpath_heterogeneous,100,100M,EpidemicRouter,12491,11491
C25892,P25892,SV1_C25892,scenario_space_v1/settings/SV1_C25892.settings,HelsinkiDowntown,BusMovement,120,7200,2.0,pedestrian_shortestpath_heterogeneous,200,5M,EpidemicRouter,26892,25892
C80487,P80487,SV1_C80487,scenario_space_v1/settings/SV1_C80487.settings,ManhattanMidtownGrid,ShortestPathMapBasedMovement,50,7200,2.0,pedestrian_shortestpath_heterogeneous,50,100M,EpidemicRouter,81487,80487
C45003,P45003,SV1_C45003,scenario_space_v1/settings/SV1_C45003.settings,KallioCommunityCompact,MapRouteMovement,60,7200,2.0,single_homogeneous,5,100M,EpidemicRouter,46003,45003
C15038,P15038,SV1_C15038,scenario_space_v1/settings/SV1_C15038.settings,HelsinkiDisrupted,ShortestPathMapBasedMovement,40,7200,2.0,pedestrian_transit,50,50M,EpidemicRouter,16038,15038
C07247,P07247,SV1_C07247,scenario_space_v1/settings/SV1_C07247.settings,HelsinkiDisrupted,MapRouteMovement,30,7200,2.0,pedestrian_transit,200,100M,EpidemicRouter,8247,7247
C38421,P38421,SV1_C38421,scenario_space_v1/settings/SV1_C38421.settings,HelsinkiDowntown,WorkingDayMovement,70,7200,2.0,single_homogeneous,200,20M,EpidemicRouter,39421,38421
C51715,P51715,SV1_C51715,scenario_space_v1/settings/SV1_C51715.settings,KallioCommunityCompact,ShortestPathMapBasedMovement,50,7200,2.0,cluster_nomadic,100,100M,EpidemicRouter,52715,51715
C10867,P10867,SV1_C10867,scenario_space_v1/settings/SV1_C10867.settings,HelsinkiDisrupted,MapRouteMovement,100,7200,2.0,pedestrian_vehicle,100,100M,EpidemicRouter,11867,10867
C68516,P68516,SV1_C68516,scenario_space_v1/settings/SV1_C68516.settings,ManhattanMidtownGrid,BusMovement,100,7200,2.0,cluster_nomadic,200,5M,EpidemicRouter,69516,68516
C32476,P32476,SV1_C32476,scenario_space_v1/settings/SV1_C32476.settings,HelsinkiDowntown,ShortestPathMapBasedMovement,100,7200,2.0,pedestrian_shortestpath_heterogeneous,10,5M,EpidemicRouter,33476,32476
C07222,P07222,SV1_C07222,scenario_space_v1/settings/SV1_C07222.settings,HelsinkiDisrupted,MapRouteMovement,30,7200,2.0,single_homogeneous,200,50M,EpidemicRouter,8222,7222
C00639,P00639,SV1_C00639,scenario_space_v1/settings/SV1_C00639.settings,HelsinkiDisrupted,ClusterMovement,40,7200,2.0,pedestrian_transit,50,100M,EpidemicRouter,1639,639
C26486,P26486,SV1_C26486,scenario_space_v1/settings/SV1_C26486.settings,HelsinkiDowntown,BusMovement,150,7200,2.0,pedestrian_shortestpath_heterogeneous,50,50M,EpidemicRouter,27486,26486
C35422,P35422,SV1_C35422,scenario_space_v1/settings/SV1_C35422.settings,HelsinkiDowntown,ShortestPathMapBasedMovement,300,7200,2.0,single_homogeneous,200,50M,EpidemicRouter,36422,35422
C06030,P06030,SV1_C06030,scenario_space_v1/settings/SV1_C06030.settings,HelsinkiDisrupted,ClusterMovement,250,7200,2.0,pedestrian_transit,10,50M,EpidemicRouter,7030,6030
C50476,P50476,SV1_C50476,scenario_space_v1/settings/SV1_C50476.settings,KallioCommunityCompact,ShortestPathMapBasedMovement,30,7200,2.0,pedestrian_shortestpath_heterogeneous,10,5M,EpidemicRouter,51476,50476
C48074,P48074,SV1_C48074,scenario_space_v1/settings/SV1_C48074.settings,KallioCommunityCompact,MapRouteMovement,150,7200,2.0,pedestrian_shortestpath_heterogeneous,5,50M,EpidemicRouter,49074,48074
C00609,P00609,SV1_C00609,scenario_space_v1/settings/SV1_C00609.settings,HelsinkiDisrupted,ClusterMovement,40,7200,2.0,single_homogeneous,20,20M,EpidemicRouter,1609,609
C28305,P28305,SV1_C28305,scenario_space_v1/settings/SV1_C28305.settings,HelsinkiDowntown,BusMovement,300,7200,2.0,cluster_nomadic,20,20M,EpidemicRouter,29305,28305
C19835,P19835,SV1_C19835,scenario_space_v1/settings/SV1_C19835.settings,HelsinkiDisrupted,ShortestPathMapBasedMovement,200,7200,2.0,pedestrian_transit,20,100M,EpidemicRouter,20835,19835
