feature_set,threshold,policy,shuffle_seed,manifest_scenarios,duplicates_removed,unique_vectors,selected,retention_manifest_pct,retention_unique_pct,max_abs_r,pairs_above_threshold,elapsed_s,out_dir
reduced17,0.65,strict,42,100800,83520,17280,61,0.060515873015873016,0.35300925925925924,0.6499624513020211,0,3.9302010536193848,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/reduced17_r065
reduced17,0.7,strict,42,100800,83520,17280,83,0.08234126984126984,0.48032407407407407,0.6999890145846569,0,3.7572133541107178,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/reduced17_r070
reduced17,0.75,strict,42,100800,83520,17280,110,0.10912698412698413,0.6365740740740741,0.7496719816609646,0,4.078433990478516,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/reduced17_r075
reduced17,0.8,strict,42,100800,83520,17280,165,0.1636904761904762,0.9548611111111112,0.7996544717157985,0,3.9884753227233887,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/reduced17_r080
reduced17,0.85,strict,42,100800,83520,17280,257,0.25496031746031744,1.4872685185185186,0.8497985087594261,0,4.298335313796997,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/reduced17_r085
core23,0.65,strict,42,100800,85248,15552,69,0.06845238095238096,0.44367283950617287,0.6486888569975063,0,4.328915119171143,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r065
core23,0.7,strict,42,100800,85248,15552,97,0.09623015873015874,0.6237139917695473,0.6995849079700187,0,4.379272222518921,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070
core23,0.75,strict,42,100800,85248,15552,137,0.1359126984126984,0.8809156378600823,0.7498487455002614,0,4.231287717819214,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r075
core23,0.8,strict,42,100800,85248,15552,194,0.19246031746031747,1.2474279835390947,0.7999296590002678,0,4.3738086223602295,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r080
core23,0.85,strict,42,100800,85248,15552,295,0.2926587301587302,1.8968621399176955,0.8499906033892084,0,4.873478651046753,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r085
full46,0.65,strict,42,100800,23040,77760,108,0.10714285714285714,0.1388888888888889,0.6498451350752589,0,10.296095132827759,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/full46_r065
full46,0.7,strict,42,100800,23040,77760,148,0.14682539682539683,0.19032921810699588,0.6999002121310844,0,10.641693353652954,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/full46_r070
full46,0.75,strict,42,100800,23040,77760,209,0.20734126984126985,0.26877572016460904,0.7499947982848727,0,11.11622405052185,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/full46_r075
full46,0.8,strict,42,100800,23040,77760,339,0.33630952380952384,0.4359567901234568,0.7999731234442677,0,13.009555101394653,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/full46_r080
full46,0.85,strict,42,100800,23040,77760,546,0.5416666666666666,0.7021604938271605,0.8499794503278683,0,15.108011722564697,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/full46_r085
