candidate_id,param_id,scenario_name,settings_file,map_id,movement_model,n_hosts,end_time_s,end_time_hours,group_structure,transmit_range_m,buffer_size,router,rng_seed,scenario_index
C02804,P02804,SV1_C02804,scenario_space_v1/settings/SV1_C02804.settings,HelsinkiDisrupted,ClusterMovement,70,43200,12.0,pedestrian_transit,200,5M,EpidemicRouter,3804,2804
C01412,P01412,SV1_C01412,scenario_space_v1/settings/SV1_C01412.settings,HelsinkiDisrupted,ClusterMovement,50,10800,3.0,pedestrian_shortestpath_heterogeneous,200,5M,EpidemicRouter,2412,1412
C100656,P100656,SV1_C100656,scenario_space_v1/settings/SV1_C100656.settings,NuuksioSparseTrails,ShortestPathMapBasedMovement,300,43200,12.0,cluster_nomadic,5,5M,EpidemicRouter,101656,100656
C51280,P51280,SV1_C51280,scenario_space_v1/settings/SV1_C51280.settings,KallioCommunityCompact,ShortestPathMapBasedMovement,40,14400,4.0,pedestrian_transit,100,5M,EpidemicRouter,52280,51280
C09288,P09288,SV1_C09288,scenario_space_v1/settings/SV1_C09288.settings,HelsinkiDisrupted,MapRouteMovement,60,14400,4.0,pedestrian_vehicle,5,5M,EpidemicRouter,10288,9288
C73700,P73700,SV1_C73700,scenario_space_v1/settings/SV1_C73700.settings,ManhattanMidtownGrid,MapRouteMovement,50,86400,24.0,single_homogeneous,200,5M,EpidemicRouter,74700,73700
C41652,P41652,SV1_C41652,scenario_space_v1/settings/SV1_C41652.settings,HelsinkiDowntown,WorkingDayMovement,200,14400,4.0,single_homogeneous,50,5M,EpidemicRouter,42652,41652
C53412,P53412,SV1_C53412,scenario_space_v1/settings/SV1_C53412.settings,KallioCommunityCompact,ShortestPathMapBasedMovement,80,7200,2.0,single_homogeneous,50,5M,EpidemicRouter,54412,53412
C96264,P96264,SV1_C96264,scenario_space_v1/settings/SV1_C96264.settings,NuuksioSparseTrails,ShortestPathMapBasedMovement,70,14400,4.0,pedestrian_transit,5,5M,EpidemicRouter,97264,96264
C88876,P88876,SV1_C88876,scenario_space_v1/settings/SV1_C88876.settings,NuuksioSparseTrails,MapRouteMovement,70,7200,2.0,pedestrian_shortestpath_heterogeneous,10,5M,EpidemicRouter,89876,88876
