scenario_name,candidate_id,max_abs_r_vs_selected
SV1_C61847,C61847,0.818470190874098
SV1_C22845,C22845,0.8761123873240793
SV1_C61815,C61815,0.9222802598564261
SV1_C76915,C76915,0.8496729433961647
SV1_C45633,C45633,0.8046735168322887
SV1_C63103,C63103,0.8895134865092252
SV1_C60696,C60696,0.9123394472514021
SV1_C45081,C45081,0.7810183623447111
SV1_C30011,C30011,0.889568409785035
SV1_C65515,C65515,0.8002496799496885
SV1_C09654,C09654,0.7544989816019935
SV1_C93001,C93001,0.8426589663184224
SV1_C95502,C95502,0.7016197171882179
SV1_C49846,C49846,0.7139324047004455
SV1_C73867,C73867,0.8447244000356978
SV1_C08429,C08429,0.7631653165839472
SV1_C72075,C72075,0.7999296590002678
SV1_C84016,C84016,0.8995159596199083
SV1_C57626,C57626,0.8523191410225439
SV1_C75625,C75625,0.9083732455627774
SV1_C60099,C60099,0.9001078442448334
SV1_C25917,C25917,0.766940533571005
SV1_C70903,C70903,0.7209593627467381
SV1_C48028,C48028,0.7556260384809319
SV1_C19815,C19815,0.8087075335676055
SV1_C48692,C48692,0.7040446423413653
SV1_C00698,C00698,0.8475278700200549
SV1_C74460,C74460,0.7503435620026945
SV1_C75063,C75063,0.9032970270640722
SV1_C88833,C88833,0.7622421067483238
SV1_C48704,C48704,0.8946035000993773
SV1_C51036,C51036,0.8705951584185105
SV1_C33097,C33097,0.8560195992533975
SV1_C86441,C86441,0.7231675674164593
SV1_C52305,C52305,0.8093568083782553
SV1_C03107,C03107,0.806006849531266
SV1_C90695,C90695,0.7552161569157061
SV1_C69711,C69711,0.842754260127501
SV1_C73237,C73237,0.757346765890676
SV1_C55831,C55831,0.7437032226751052
SV1_C29507,C29507,0.7840420767691427
SV1_C52830,C52830,0.8986472864239939
SV1_C89402,C89402,0.9203813846926506
SV1_C02437,C02437,0.7105443020403531
SV1_C53514,C53514,0.9215150248088364
SV1_C45092,C45092,0.7393327202784722
SV1_C53425,C53425,0.9583511274934031
SV1_C28313,C28313,0.7551986621628405
SV1_C15020,C15020,0.7951390555736024
SV1_C00626,C00626,0.8780406951442654
SV1_C70274,C70274,0.817588644107089
SV1_C73230,C73230,0.740446065692572
SV1_C21636,C21636,0.7576010917722479
SV1_C06037,C06037,0.9417348488622375
SV1_C70297,C70297,0.837150919150569
SV1_C58209,C58209,0.9747713151889147
SV1_C53493,C53493,0.9679166044919447
SV1_C52833,C52833,0.9428666110413362
SV1_C18043,C18043,0.7606121033338737
SV1_C55220,C55220,0.7404633072504668
SV1_C28233,C28233,0.7100486917156142
SV1_C64309,C64309,0.7645176448500108
SV1_C12660,C12660,0.7203901695401392
SV1_C58912,C58912,0.7819578599830942
SV1_C68439,C68439,0.7595002405330276
SV1_C90628,C90628,0.8462157081634906
SV1_C43279,C43279,0.7090237685241619
SV1_C49267,C49267,0.8982951366216119
SV1_C48106,C48106,0.9344517388679958
SV1_C43828,C43828,0.804054522713722
SV1_C37205,C37205,0.8370319897653972
SV1_C52847,C52847,0.7566168700672963
SV1_C83487,C83487,0.9485338738579615
SV1_C53494,C53494,0.997443787336529
SV1_C43276,C43276,0.8406067374478687
SV1_C49261,C49261,0.9636731639603574
SV1_C30674,C30674,0.8370999650652492
SV1_C17418,C17418,0.9310405390692569
SV1_C06096,C06096,0.7952661439994347
SV1_C83498,C83498,0.7617960128001577
SV1_C23446,C23446,0.898491532138192
