map_id,batch_target,source_type,anchor_id,archetype,generator_type,world_size_x,world_size_y,world_area,bbox_width,bbox_height,useful_area,useful_area_ratio,n_nodes,n_edges,total_road_length_m,road_density,avg_edge_length_m,median_edge_length_m,avg_degree,max_degree,dead_end_ratio,intersection_ratio,n_components,largest_component_ratio,bridge_edges_count,bridge_edges_ratio,articulation_points_count,articulation_points_ratio,graph_diameter_approx,avg_shortest_path_approx,circuity_approx,orientation_entropy,gridness_score,corridor_score,radial_score,partition_score,community_score,tree_like_score,supports_map_based,supports_route_movement_candidate,supports_cluster_overlay,supports_wdm_candidate,supports_bus_route_candidate,validation_status,feature_omissions,sampling_seed,validation_status_val,anchor_label,wkt_dir,roads_wkt,metadata_json,preview_png,generation_status
OSM_cambridge_haggle_offset_n_1000m_1500m_0891,1000,osm,cambridge_haggle,dense_urban_irregular,,1060,1028,1089680.0,1009.82,977.56,987156.51,0.905914133608704,1223,1400,47692.55,0.0012847808530944,17.9836,9.7354,2.2895,5,0.0695,0.2845,1,1.0,203,0.145,190,0.155356,3302.17,709.94,1.5032,4.7843,0.4272,2.1728,0.6302,0.0,0.9007,0.4668,yes,yes,partial,yes,no,PASS,,1029343264,PASS,Cambridge UK (Haggle),batch_1000/wkt/map_0891,batch_1000/wkt/map_0891/roads.wkt,batch_1000/wkt/map_0891/metadata.json,previews/OSM_cambridge_haggle_offset_n_1000m_1500m_0891.png,OK
OSM_cambridge_haggle_offset_n_2500m_1000m_0246,400,osm,cambridge_haggle,dense_urban_irregular,,2623,2587,6785701.0,2572.01,2536.77,6524596.65,0.9615213884407572,11716,13143,384481.96,0.0019368669500763,15.3034,8.5787,2.2436,7,0.1077,0.2896,1,1.0,3125,0.237769,2802,0.23916,7378.11,1661.65,1.3863,5.1223,0.3973,1.3054,0.6275,0.0,0.9526,0.4937,yes,yes,partial,yes,no,PASS,,755823708,PASS,Cambridge UK (Haggle),batch_0400/wkt/map_0246,batch_0400/wkt/map_0246/roads.wkt,batch_0400/wkt/map_0246/metadata.json,previews/OSM_cambridge_haggle_offset_n_2500m_1000m_0246.png,OK
OSM_dieselnet_amherst_offset_e_1000m_500m_0054,100,osm,dieselnet_amherst,bus_route_urban_suburban,,1048,1051,1101448.0,997.89,1000.68,998566.33,0.9065941642613587,492,515,18266.29,0.0004675663308662,20.1615,11.5661,2.0935,4,0.0183,0.1037,1,1.0,78,0.151456,79,0.160569,3151.73,597.03,1.4654,4.7647,0.5199,2.2889,0.5446,0.0,0.901,0.4854,yes,yes,no,no,yes,PASS,,1674606801,PASS,DieselNet / PVTA Amherst,batch_0100/wkt/map_0054,batch_0100/wkt/map_0054/roads.wkt,batch_0100/wkt/map_0054/metadata.json,previews/OSM_dieselnet_amherst_offset_e_1000m_500m_0054.png,OK
OSM_dieselnet_amherst_offset_e_2500m_1000m_0896,1000,osm,dieselnet_amherst,bus_route_urban_suburban,,2482,2555,6341510.0,2431.6,2504.17,6089141.41,0.9602037077609542,2009,2093,77366.43,0.0003300475754197,20.1633,10.9953,2.0836,4,0.0134,0.0841,1,1.0,301,0.143813,304,0.151319,5067.3,1521.74,1.3602,4.8136,0.5973,1.1664,0.6129,0.0,0.9312,0.4861,yes,yes,no,no,yes,PASS,,2022190063,PASS,DieselNet / PVTA Amherst,batch_1000/wkt/map_0896,batch_1000/wkt/map_0896/roads.wkt,batch_1000/wkt/map_0896/metadata.json,previews/OSM_dieselnet_amherst_offset_e_2500m_1000m_0896.png,OK
OSM_dieselnet_amherst_offset_e_5000m_1000m_0507,600,osm,dieselnet_amherst,bus_route_urban_suburban,,5069,4956,25121964.0,5018.23,4905.19,24615374.6,0.979834801270769,5020,5200,174246.75,0.0002069901859583,18.8742,10.5814,2.0717,4,0.0112,0.0719,1,1.0,1066,0.205,1078,0.214741,11792.86,2779.71,1.377,4.9652,0.5218,1.6954,0.4796,0.0,0.9579,0.488,yes,yes,no,no,yes,PASS,,2133380466,PASS,DieselNet / PVTA Amherst,batch_0600/wkt/map_0507,batch_0600/wkt/map_0507/roads.wkt,batch_0600/wkt/map_0507/metadata.json,previews/OSM_dieselnet_amherst_offset_e_5000m_1000m_0507.png,OK
OSM_dieselnet_amherst_offset_e_5000m_200m_0801,1000,osm,dieselnet_amherst,bus_route_urban_suburban,,4952,5083,25171016.0,4901.37,5032.55,24666356.81,0.979950781759407,5080,5259,182427.75,0.0002089307797508,19.578,10.7794,2.0705,4,0.0104,0.0699,1,1.0,986,0.187488,996,0.196063,14629.5,3011.93,1.3756,4.918,0.5409,1.3024,0.5473,0.0,0.9568,0.4879,yes,yes,no,no,yes,PASS,,946028982,PASS,DieselNet / PVTA Amherst,batch_1000/wkt/map_0801,batch_1000/wkt/map_0801/roads.wkt,batch_1000/wkt/map_0801/metadata.json,previews/OSM_dieselnet_amherst_offset_e_5000m_200m_0801.png,OK
OSM_helsinki_archipelago_offset_s_1000m_1500m_0538,600,osm,helsinki_archipelago,island_or_partitioned,,395,392,154840.0,344.39,341.79,117710.87,0.7602096712309915,342,381,7540.96,0.0024606044949625,15.4845,6.2218,2.2281,6,0.0409,0.1901,1,1.0,31,0.081365,32,0.093567,1426.69,287.83,2.7889,4.7685,0.1828,4.9731,0.3853,0.0,0.8793,0.4658,yes,yes,no,no,no,PASS,,3975278974,PASS,Helsinki archipelago partitioned,batch_0600/wkt/map_0538,batch_0600/wkt/map_0538/roads.wkt,batch_0600/wkt/map_0538/metadata.json,previews/OSM_helsinki_archipelago_offset_s_1000m_1500m_0538.png,OK
OSM_helsinki_archipelago_offset_s_1000m_200m_1160,1200,osm,helsinki_archipelago,island_or_partitioned,,1068,1056,1127808.0,1017.11,1005.3,1022504.41,0.9066298628238106,4656,5333,95249.19,0.0047286417546249,9.6095,5.659,2.2908,6,0.1454,0.3477,1,1.0,1054,0.197637,949,0.203823,2794.89,575.26,1.3711,4.5682,0.4154,1.6845,0.562,0.0,0.9297,0.4999,yes,yes,no,no,no,PASS,,1295459092,PASS,Helsinki archipelago partitioned,batch_1200/wkt/map_1160,batch_1200/wkt/map_1160/roads.wkt,batch_1200/wkt/map_1160/metadata.json,previews/OSM_helsinki_archipelago_offset_s_1000m_200m_1160.png,OK
OSM_helsinki_disrupted_offset_w_1000m_1000m_0876,1000,osm,helsinki_disrupted,industrial_disrupted,,1087,1065,1157655.0,1036.34,1014.5,1051362.51,0.9081829317497866,5613,6585,126548.76,0.0056882231752983,10.3839,6.0492,2.3463,5,0.1295,0.3645,1,1.0,1257,0.190888,1171,0.208623,1949.27,623.78,1.3292,4.964,0.3323,1.3585,0.5382,0.0,0.9283,0.4813,yes,yes,no,partial,no,PASS,,3837897984,PASS,Helsinki Kalasatama / Disrupted,batch_1000/wkt/map_0876,batch_1000/wkt/map_0876/roads.wkt,batch_1000/wkt/map_0876/metadata.json,previews/OSM_helsinki_disrupted_offset_w_1000m_1000m_0876.png,OK
OSM_helsinki_downtown_exact_2500m_0m_0286,400,osm,helsinki_downtown,dense_urban_irregular,,2548,2560,6522880.0,2497.21,2509.84,6267587.37,0.9608619764611276,6374,6723,122250.16,0.0010306796997645,12.6934,7.2684,2.1095,5,0.0096,0.0874,1,1.0,494,0.073479,493,0.077345,4696.92,1635.18,1.3467,4.5379,0.4885,1.2952,0.6138,0.0,0.9398,0.4785,yes,yes,partial,yes,no,PASS,,2342119145,PASS,Helsinki Downtown,batch_0400/wkt/map_0286,batch_0400/wkt/map_0286/roads.wkt,batch_0400/wkt/map_0286/metadata.json,previews/OSM_helsinki_downtown_exact_2500m_0m_0286.png,OK
