archetype,source_type,count
bus_route_urban_suburban,osm,4
campus_compact,osm,3
campus_compact,synthetic,1
clustered_communities,trace_reference_synthetic,4
compact_residential,osm,7
conference_event_compact,trace_reference_synthetic,7
corridor_linear,osm,2
corridor_linear,trace_reference_synthetic,6
dense_urban_irregular,osm,4
dense_urban_irregular,synthetic,1
hub_and_spoke,synthetic,4
industrial_disrupted,osm,3
industrial_disrupted,synthetic,1
island_or_partitioned,osm,2
island_or_partitioned,synthetic,4
radial_city,synthetic,3
rural_roads,osm,2
rural_roads,synthetic,3
sparse_trails,osm,2
sparse_trails,synthetic,4
suburban_low_density,osm,4
urban_grid,osm,2
urban_grid,synthetic,2
