family,scenario_base,scenario_name,traffic_profile_id,traffic_profile_name,settings_file,n_hosts,Scenario.endTime,Group.msgTtl_minutes,Events.nrof,Events1.interval,Events1.size,note
07_stress_controls,T10_HighRateLowSpeed_Congestion,T10_HighRateLowSpeed_Congestion__TP01_Baseline,TP01,Baseline,scenarios/stress_controls/T10_HighRateLowSpeed_Congestion__TP01_Baseline.settings,48,43200,7200,1,"60, 120","50k, 150k",
07_stress_controls,T10_HighRateLowSpeed_Congestion,T10_HighRateLowSpeed_Congestion__TP10_Storm,TP10,Storm,scenarios/stress_controls/T10_HighRateLowSpeed_Congestion__TP10_Storm.settings,48,43200,60,1,"5, 10","100k, 500k",
07_stress_controls,T11_TTL_1min,T11_TTL_1min__TP01_Baseline,TP01,Baseline,scenarios/stress_controls/T11_TTL_1min__TP01_Baseline.settings,30,43200,7200,1,"60, 120","50k, 150k",
07_stress_controls,T11_TTL_1min,T11_TTL_1min__TP10_Storm,TP10,Storm,scenarios/stress_controls/T11_TTL_1min__TP10_Storm.settings,30,43200,60,1,"5, 10","100k, 500k",
07_stress_controls,T12_TTL_Infinite_Buffer200M,T12_TTL_Infinite_Buffer200M__TP01_Baseline,TP01,Baseline,scenarios/stress_controls/T12_TTL_Infinite_Buffer200M__TP01_Baseline.settings,42,43200,7200,1,"60, 120","50k, 150k",
07_stress_controls,T12_TTL_Infinite_Buffer200M,T12_TTL_Infinite_Buffer200M__TP10_Storm,TP10,Storm,scenarios/stress_controls/T12_TTL_Infinite_Buffer200M__TP10_Storm.settings,42,43200,60,1,"5, 10","100k, 500k",
07_stress_controls,T13_Buffer_256k,T13_Buffer_256k__TP01_Baseline,TP01,Baseline,scenarios/stress_controls/T13_Buffer_256k__TP01_Baseline.settings,30,43200,7200,1,"60, 120","50k, 150k",
07_stress_controls,T13_Buffer_256k,T13_Buffer_256k__TP10_Storm,TP10,Storm,scenarios/stress_controls/T13_Buffer_256k__TP10_Storm.settings,30,43200,60,1,"5, 10","100k, 500k",
07_stress_controls,T14_Buffer_200M,T14_Buffer_200M__TP01_Baseline,TP01,Baseline,scenarios/stress_controls/T14_Buffer_200M__TP01_Baseline.settings,46,43200,7200,1,"60, 120","50k, 150k",
07_stress_controls,T14_Buffer_200M,T14_Buffer_200M__TP10_Storm,TP10,Storm,scenarios/stress_controls/T14_Buffer_200M__TP10_Storm.settings,46,43200,60,1,"5, 10","100k, 500k",
07_stress_controls,T15_TransmitSpeed_256k,T15_TransmitSpeed_256k__TP01_Baseline,TP01,Baseline,scenarios/stress_controls/T15_TransmitSpeed_256k__TP01_Baseline.settings,42,43200,7200,1,"60, 120","50k, 150k",
07_stress_controls,T15_TransmitSpeed_256k,T15_TransmitSpeed_256k__TP10_Storm,TP10,Storm,scenarios/stress_controls/T15_TransmitSpeed_256k__TP10_Storm.settings,42,43200,60,1,"5, 10","100k, 500k",
07_stress_controls,T1_ManySmallMsgs_HighRate,T1_ManySmallMsgs_HighRate__TP01_Baseline,TP01,Baseline,scenarios/stress_controls/T1_ManySmallMsgs_HighRate__TP01_Baseline.settings,36,43200,7200,1,"60, 120","50k, 150k",
07_stress_controls,T1_ManySmallMsgs_HighRate,T1_ManySmallMsgs_HighRate__TP10_Storm,TP10,Storm,scenarios/stress_controls/T1_ManySmallMsgs_HighRate__TP10_Storm.settings,36,43200,60,1,"5, 10","100k, 500k",
07_stress_controls,T2_FewHugeMsgs_LowRate,T2_FewHugeMsgs_LowRate__TP01_Baseline,TP01,Baseline,scenarios/stress_controls/T2_FewHugeMsgs_LowRate__TP01_Baseline.settings,45,43200,7200,1,"60, 120","50k, 150k",
07_stress_controls,T2_FewHugeMsgs_LowRate,T2_FewHugeMsgs_LowRate__TP10_Storm,TP10,Storm,scenarios/stress_controls/T2_FewHugeMsgs_LowRate__TP10_Storm.settings,45,43200,60,1,"5, 10","100k, 500k",
07_stress_controls,T3_MixedBimodal_SmallAndLarge,T3_MixedBimodal_SmallAndLarge__TP01_Baseline,TP01,Baseline,scenarios/stress_controls/T3_MixedBimodal_SmallAndLarge__TP01_Baseline.settings,45,43200,7200,1,"60, 120","50k, 150k",
07_stress_controls,T3_MixedBimodal_SmallAndLarge,T3_MixedBimodal_SmallAndLarge__TP10_Storm,TP10,Storm,scenarios/stress_controls/T3_MixedBimodal_SmallAndLarge__TP10_Storm.settings,45,43200,60,1,"5, 10","100k, 500k",
07_stress_controls,T4_VeryShortTtl_5to10min,T4_VeryShortTtl_5to10min__TP01_Baseline,TP01,Baseline,scenarios/stress_controls/T4_VeryShortTtl_5to10min__TP01_Baseline.settings,42,28800,7200,1,"60, 120","50k, 150k",
07_stress_controls,T4_VeryShortTtl_5to10min,T4_VeryShortTtl_5to10min__TP10_Storm,TP10,Storm,scenarios/stress_controls/T4_VeryShortTtl_5to10min__TP10_Storm.settings,42,28800,60,1,"5, 10","100k, 500k",
07_stress_controls,T5_VeryLongTtl_6to24h,T5_VeryLongTtl_6to24h__TP01_Baseline,TP01,Baseline,scenarios/stress_controls/T5_VeryLongTtl_6to24h__TP01_Baseline.settings,40,43200,7200,1,"60, 120","50k, 150k",
07_stress_controls,T5_VeryLongTtl_6to24h,T5_VeryLongTtl_6to24h__TP10_Storm,TP10,Storm,scenarios/stress_controls/T5_VeryLongTtl_6to24h__TP10_Storm.settings,40,43200,60,1,"5, 10","100k, 500k",
07_stress_controls,T6_UniformSources_RandomFromTo,T6_UniformSources_RandomFromTo__TP01_Baseline,TP01,Baseline,scenarios/stress_controls/T6_UniformSources_RandomFromTo__TP01_Baseline.settings,42,43200,7200,1,"60, 120","50k, 150k",
07_stress_controls,T6_UniformSources_RandomFromTo,T6_UniformSources_RandomFromTo__TP10_Storm,TP10,Storm,scenarios/stress_controls/T6_UniformSources_RandomFromTo__TP10_Storm.settings,42,43200,60,1,"5, 10","100k, 500k",
07_stress_controls,T7_TargetedToHubs_FewDestinations,T7_TargetedToHubs_FewDestinations__TP01_Baseline,TP01,Baseline,scenarios/stress_controls/T7_TargetedToHubs_FewDestinations__TP01_Baseline.settings,45,43200,7200,1,"60, 120","50k, 150k",
07_stress_controls,T7_TargetedToHubs_FewDestinations,T7_TargetedToHubs_FewDestinations__TP10_Storm,TP10,Storm,scenarios/stress_controls/T7_TargetedToHubs_FewDestinations__TP10_Storm.settings,45,43200,60,1,"5, 10","100k, 500k",
07_stress_controls,T8_BurstTraffic_TimeWindows,T8_BurstTraffic_TimeWindows__TP01_Baseline,TP01,Baseline,scenarios/stress_controls/T8_BurstTraffic_TimeWindows__TP01_Baseline.settings,45,43200,7200,1,"60, 120","50k, 150k",
07_stress_controls,T8_BurstTraffic_TimeWindows,T8_BurstTraffic_TimeWindows__TP10_Storm,TP10,Storm,scenarios/stress_controls/T8_BurstTraffic_TimeWindows__TP10_Storm.settings,45,43200,60,1,"5, 10","100k, 500k",
07_stress_controls,T9_BufferStress_SmallBufferHighTraffic,T9_BufferStress_SmallBufferHighTraffic__TP01_Baseline,TP01,Baseline,scenarios/stress_controls/T9_BufferStress_SmallBufferHighTraffic__TP01_Baseline.settings,48,43200,7200,1,"60, 120","50k, 150k",
